,Live Spectrum 8/25/2018 9:11:41 PM
Wavelength [nm],Intensity
398.447,1588.784
398.949,1589.353
399.452,1590.863
399.954,1590.843
400.456,1590.686
400.958,1589.784
401.46,1589.706
401.962,1589.608
402.463,1588.922
402.965,1587.745
403.466,1586.451
403.968,1585.804
404.469,1586.608
404.97,1586.333
405.471,1586.471
405.972,1587.098
406.473,1586.451
406.974,1585.373
407.475,1584.314
407.975,1583.255
408.475,1583.431
408.976,1583.118
409.476,1583.275
409.976,1582.667
410.476,1581.784
410.976,1581.569
411.476,1581.765
411.976,1583.196
412.475,1583.627
412.975,1584.137
413.474,1585.235
413.974,1586.686
414.473,1586.353
414.972,1586.608
415.471,1586.216
415.97,1587.627
416.469,1588.412
416.967,1588.784
417.466,1588.823
417.964,1588.392
418.463,1588.784
418.961,1589.588
419.459,1589.177
419.957,1588.961
420.455,1588.059
420.953,1587.549
421.451,1587.059
421.949,1586.157
422.446,1585.569
422.944,1585.667
423.441,1586.902
423.938,1588.588
424.435,1588.902
424.932,1588.843
425.429,1587.745
425.926,1587.392
426.423,1587.431
426.919,1586.706
427.416,1585.941
427.912,1586.137
428.409,1586.196
428.905,1586.980
429.401,1588.000
429.897,1587.588
430.393,1587.177
430.889,1586.843
431.384,1587.451
431.88,1586.627
432.375,1585.922
432.871,1586.157
433.366,1586.294
433.861,1586.706
434.356,1587.196
434.851,1587.275
435.346,1588.451
435.841,1589.588
436.335,1589.980
436.83,1590.765
437.324,1590.451
437.819,1589.627
438.313,1590.020
438.807,1590.804
439.301,1590.275
439.795,1589.784
440.289,1589.451
440.783,1588.569
441.276,1588.137
441.77,1588.725
442.263,1588.745
442.757,1588.980
443.25,1589.255
443.743,1588.667
444.236,1588.863
444.729,1589.667
445.222,1590.118
445.714,1590.823
446.207,1593.118
446.699,1594.823
447.192,1595.863
447.684,1597.275
448.176,1597.843
448.668,1598.765
449.16,1600.569
449.652,1599.471
450.144,1598.451
450.635,1598.882
451.127,1598.588
451.618,1599.177
452.11,1600.373
452.601,1602.255
453.092,1602.961
453.583,1603.608
454.074,1604.294
454.565,1604.392
455.056,1603.373
455.546,1602.020
456.037,1599.725
456.527,1598.902
457.018,1597.569
457.508,1596.020
457.998,1596.549
458.488,1596.608
458.978,1595.020
459.468,1594.235
459.957,1593.412
460.447,1592.000
460.936,1589.333
461.426,1587.118
461.915,1585.235
462.404,1583.000
462.893,1580.588
463.382,1579.863
463.871,1579.529
464.36,1580.647
464.848,1581.333
465.337,1582.725
465.825,1583.412
466.314,1584.902
466.802,1585.823
467.29,1587.941
467.778,1590.373
468.266,1591.510
468.754,1592.941
469.242,1594.059
469.729,1596.157
470.217,1598.118
470.704,1599.098
471.192,1599.333
471.679,1599.059
472.166,1598.177
472.653,1597.039
473.14,1595.961
473.627,1593.941
474.113,1592.196
474.6,1589.804
475.086,1589.118
475.573,1588.725
476.059,1587.333
476.545,1587.118
477.031,1586.882
477.517,1586.235
478.003,1585.314
478.489,1583.608
478.974,1582.784
479.46,1582.647
479.945,1582.451
480.431,1581.922
480.916,1582.235
481.401,1581.549
481.886,1581.980
482.371,1582.647
482.856,1582.823
483.341,1582.667
483.825,1581.608
484.31,1581.941
484.794,1580.961
485.279,1580.941
485.763,1581.765
486.247,1581.843
486.731,1582.706
487.215,1583.725
487.699,1583.922
488.182,1584.961
488.666,1585.980
489.149,1586.078
489.633,1587.902
490.116,1589.882
490.599,1591.392
491.082,1592.725
491.565,1593.039
492.048,1593.294
492.531,1592.294
493.013,1592.961
493.496,1593.353
493.978,1592.863
494.461,1592.353
494.943,1592.039
495.425,1591.275
495.907,1590.823
496.389,1589.902
496.871,1590.627
497.353,1591.020
497.834,1589.118
498.316,1587.333
498.797,1585.980
499.279,1586.078
499.76,1585.961
500.241,1585.863
500.722,1587.098
501.203,1588.275
501.684,1588.294
502.164,1587.843
502.645,1588.314
503.125,1588.275
503.606,1589.333
504.086,1590.765
504.566,1591.941
505.046,1591.647
505.526,1592.745
506.006,1594.745
506.486,1596.549
506.965,1597.569
507.445,1597.725
507.924,1598.667
508.404,1599.627
508.883,1598.922
509.362,1597.157
509.841,1595.529
510.32,1594.314
510.799,1591.823
511.278,1590.588
511.756,1589.039
512.235,1587.745
512.713,1586.647
513.192,1586.000
513.67,1584.451
514.148,1583.608
514.626,1582.549
515.104,1581.588
515.582,1580.941
516.059,1579.863
516.537,1579.608
517.014,1579.490
517.492,1579.137
517.969,1579.667
518.446,1580.255
518.923,1582.098
519.4,1582.784
519.877,1583.196
520.354,1583.235
520.83,1582.235
521.307,1581.745
521.783,1581.314
522.26,1580.608
522.736,1580.059
523.212,1579.549
523.688,1578.902
524.164,1577.843
524.64,1575.627
525.116,1573.902
525.591,1573.510
526.067,1572.843
526.542,1571.941
527.018,1571.333
527.493,1569.922
527.968,1569.196
528.443,1568.569
528.918,1568.745
529.393,1568.235
529.867,1568.078
530.342,1566.216
530.816,1565.412
531.291,1565.412
531.765,1564.922
532.239,1565.314
532.713,1567.471
533.187,1569.353
533.661,1570.863
534.135,1572.627
534.608,1573.843
535.082,1574.000
535.555,1575.706
536.029,1577.314
536.502,1578.216
536.975,1579.255
537.448,1581.392
537.921,1582.020
538.394,1584.118
538.867,1584.745
539.339,1584.706
539.812,1585.510
540.284,1585.745
540.757,1584.471
541.229,1583.059
541.701,1581.804
542.173,1580.961
542.645,1581.137
543.117,1582.333
543.588,1582.078
544.06,1581.196
544.531,1581.510
545.003,1582.059
545.474,1581.098
545.945,1581.902
546.416,1582.608
546.887,1583.373
547.358,1584.333
547.829,1584.157
548.299,1583.235
548.77,1582.627
549.24,1582.863
549.711,1582.529
550.181,1582.118
550.651,1581.823
551.121,1581.373
551.591,1581.686
552.061,1582.216
552.531,1582.529
553,1581.392
553.47,1581.647
553.939,1581.412
554.409,1581.059
554.878,1580.804
555.347,1580.902
555.816,1581.412
556.285,1582.588
556.754,1583.216
557.222,1583.529
557.691,1584.569
558.159,1584.843
558.628,1584.608
559.096,1584.725
559.564,1584.863
560.032,1583.980
560.5,1583.216
560.968,1583.431
561.436,1583.706
561.903,1583.098
562.371,1583.157
562.838,1582.490
563.306,1582.196
563.773,1583.275
564.24,1585.667
564.707,1587.941
565.174,1589.373
565.641,1590.804
566.108,1592.255
566.574,1594.020
567.041,1594.902
567.507,1595.725
567.973,1596.922
568.44,1599.039
568.906,1602.431
569.372,1603.922
569.838,1606.549
570.304,1608.373
570.769,1610.667
571.235,1610.882
571.7,1610.177
572.166,1607.725
572.631,1606.137
573.096,1605.078
573.561,1603.882
574.026,1602.314
574.491,1601.137
574.956,1599.294
575.42,1597.608
575.885,1596.882
576.349,1594.608
576.814,1591.843
577.278,1590.255
577.742,1588.078
578.206,1585.843
578.67,1583.706
579.134,1583.333
579.598,1582.353
580.061,1583.510
580.525,1583.902
580.988,1583.922
581.452,1582.745
581.915,1582.373
582.378,1582.275
582.841,1583.549
583.304,1583.569
583.766,1583.157
584.229,1582.177
584.692,1580.765
585.154,1580.490
585.617,1580.078
586.079,1580.529
586.541,1580.608
587.003,1580.588
587.465,1581.412
587.927,1581.353
588.389,1581.922
588.85,1583.216
589.312,1584.451
589.773,1584.941
590.235,1584.765
590.696,1583.902
591.157,1584.725
591.618,1585.549
592.079,1586.490
592.54,1587.020
593.001,1587.137
593.461,1587.196
593.922,1586.941
594.382,1588.490
594.842,1589.157
595.303,1589.725
595.763,1588.882
596.223,1588.843
596.683,1589.235
597.143,1589.961
597.602,1591.000
598.062,1592.961
598.521,1593.765
598.981,1593.961
599.44,1593.863
599.899,1595.706
600.358,1595.863
600.817,1595.510
601.276,1595.667
601.735,1596.549
602.193,1594.902
602.652,1594.294
603.11,1592.823
603.569,1592.745
604.027,1591.627
604.485,1590.373
604.943,1590.118
605.401,1588.647
605.859,1586.627
606.317,1585.882
606.774,1584.706
607.232,1584.667
607.689,1584.157
608.146,1584.471
608.604,1585.177
609.061,1585.196
609.518,1585.118
609.975,1584.980
610.431,1585.137
610.888,1586.118
611.345,1585.843
611.801,1586.039
612.258,1585.529
612.714,1585.843
613.17,1588.137
613.626,1590.471
614.082,1592.039
614.538,1594.451
614.994,1594.745
615.449,1594.177
615.905,1594.451
616.36,1594.373
616.816,1594.529
617.271,1593.980
617.726,1594.353
618.181,1594.235
618.636,1593.823
619.091,1593.490
619.546,1592.569
620,1592.294
620.455,1590.039
620.909,1587.373
621.363,1584.784
621.818,1581.588
622.272,1577.686
622.726,1575.314
623.18,1574.098
623.633,1572.529
624.087,1571.353
624.541,1571.078
624.994,1570.980
625.448,1570.941
625.901,1571.020
626.354,1570.294
626.807,1570.588
627.26,1571.412
627.713,1571.177
628.166,1572.314
628.618,1573.216
629.071,1574.373
629.523,1576.549
629.976,1580.078
630.428,1583.902
630.88,1585.275
631.332,1587.804
631.784,1589.373
632.236,1590.823
632.688,1593.196
633.139,1595.059
633.591,1595.804
634.042,1596.431
634.493,1597.706
634.945,1598.647
635.396,1599.647
635.847,1599.490
636.298,1599.177
636.748,1599.627
637.199,1599.647
637.65,1598.569
638.1,1598.294
638.551,1598.098
639.001,1597.471
639.451,1597.216
639.901,1597.765
640.351,1597.118
640.801,1597.098
641.251,1597.784
641.7,1598.765
642.15,1599.725
642.599,1600.549
643.049,1601.431
643.498,1602.647
643.947,1604.275
644.396,1604.118
644.845,1603.804
645.294,1603.922
645.743,1603.471
646.191,1603.647
646.64,1604.235
647.088,1604.686
647.536,1603.588
647.985,1601.608
648.433,1600.078
648.881,1599.373
649.329,1598.608
649.776,1597.098
650.224,1595.647
650.672,1595.333
651.119,1595.608
651.567,1595.255
652.014,1596.020
652.461,1596.373
652.908,1596.529
653.355,1595.725
653.802,1595.412
654.249,1593.667
654.695,1592.137
655.142,1590.882
655.588,1590.431
656.035,1589.804
656.481,1588.608
656.927,1588.157
657.373,1588.000
657.819,1587.863
658.265,1587.177
658.71,1585.353
659.156,1584.020
659.602,1581.882
660.047,1581.235
660.492,1579.902
660.938,1578.922
661.383,1578.471
661.828,1579.098
662.273,1578.961
662.717,1578.980
663.162,1580.118
663.607,1581.392
664.051,1581.392
664.495,1581.059
664.94,1580.216
665.384,1579.784
665.828,1579.745
666.272,1580.353
666.716,1580.392
667.16,1580.804
667.603,1580.588
668.047,1580.667
668.49,1580.725
668.934,1580.608
669.377,1580.843
669.82,1580.843
670.263,1580.961
670.706,1579.941
671.149,1578.804
671.591,1578.725
672.034,1578.373
672.477,1578.667
672.919,1578.941
673.361,1578.725
673.804,1579.529
674.246,1580.686
674.688,1581.725
675.13,1583.255
675.571,1583.863
676.013,1584.549
676.455,1584.980
676.896,1584.725
677.337,1585.157
677.779,1585.588
678.22,1585.804
678.661,1585.784
679.102,1585.725
679.543,1586.529
679.984,1587.902
680.424,1589.549
680.865,1591.294
681.305,1591.804
681.746,1591.745
682.186,1591.843
682.626,1591.098
683.066,1590.823
683.506,1590.020
683.946,1590.431
684.385,1590.373
684.825,1591.980
685.265,1592.667
685.704,1593.490
686.143,1594.451
686.583,1596.098
687.022,1597.059
687.461,1599.196
687.9,1599.588
688.338,1599.784
688.777,1599.451
689.216,1600.235
689.654,1600.118
690.092,1600.667
690.531,1601.157
690.969,1601.196
