,Live Spectrum 8/25/2018 9:05:52 PM,
Wavelength [nm],Intensity,
222.167,30.766,
222.599,46.532,
223.031,56.211,
223.464,51.119,
223.896,38.741,
224.328,39.972,
224.761,61.223,
225.193,61.842,
225.625,65.789,
226.058,73.182,
226.490,71.072,
226.922,66.239,
227.355,61.404,
227.787,51.815,
228.219,44.717,
228.652,48.374,
229.084,43.295,
229.516,55.414,
229.949,60.122,
230.381,59.431,
230.813,58.907,
231.246,48.983,
231.678,40.071,
232.110,37.757,
232.543,44.936,
232.975,58.554,
233.407,62.915,
233.840,58.296,
234.272,58.188,
234.704,57.044,
235.136,53.366,
235.569,53.366,
236.001,47.68,
236.433,47.241,
236.866,50.289,
237.298,56.767,
237.730,67.429,
238.163,68.885,
238.595,56.108,
239.027,45.84,
239.460,44.435,
239.892,51.711,
240.324,58.187,
240.757,54.028,
241.189,55.789,
241.621,59.023,
242.054,57.478,
242.486,55.048,
242.918,50.293,
243.351,54.424,
243.783,51.898,
244.215,38.725,
244.648,32.725,
245.080,36.36,
245.512,47.335,
245.945,55.664,
246.377,57.515,
246.809,53.973,
247.242,40.502,
247.674,40.649,
248.106,40.804,
248.539,42.082,
248.971,47.706,
249.403,46.488,
249.836,50.9,
250.268,52.457,
250.700,55.714,
251.133,61.749,
251.565,61.668,
251.997,55.309,
252.430,55.307,
252.862,54.893,
253.294,50.196,
253.727,41.819,
254.159,47.839,
254.591,54.063,
255.024,57.739,
255.456,54.909,
255.888,44.69,
256.320,38.583,
256.753,33.966,
257.185,36.542,
257.617,43.187,
258.050,50.107,
258.482,54.626,
258.914,66.363,
259.347,64.906,
259.779,59.104,
260.211,55.158,
260.644,55.709,
261.076,53.098,
261.508,41.09,
261.941,40.8,
262.373,49.031,
262.805,57.422,
263.238,58.728,
263.670,51.789,
264.102,54.902,
264.535,50.993,
264.967,38.891,
265.399,31.351,
265.832,37.969,
266.264,36.467,
266.696,44.523,
267.129,57.017,
267.561,65.707,
267.993,71.513,
268.426,57.139,
268.858,55.467,
269.290,52.506,
269.723,45.906,
270.155,45.369,
270.587,49.871,
271.020,49.182,
271.452,44.785,
271.884,38.626,
272.317,33.422,
272.749,33.176,
273.181,35.292,
273.614,32.407,
274.046,39.122,
274.478,53.431,
274.911,60.379,
275.343,60.543,
275.775,56.753,
276.208,49.534,
276.640,42.906,
277.072,41.421,
277.504,48.56,
277.937,54.084,
278.369,55.366,
278.801,54.42,
279.234,49.272,
279.666,39.533,
280.098,48.076,
280.531,64.864,
280.963,64.822,
281.395,58.71,
281.828,58.544,
282.260,67.759,
282.692,60.523,
283.125,65.18,
283.557,68.755,
283.989,65.701,
284.422,56.374,
284.854,48.557,
285.286,47.15,
285.719,52.312,
286.151,56.423,
286.583,61.095,
287.016,72.811,
287.448,73.306,
287.880,65.414,
288.313,55.858,
288.745,55.511,
289.177,65.023,
289.610,69.013,
290.042,70.992,
