,Live Spectrum 8/25/2018 10:32:08 PM,
Wavelength [nm],Intensity,
222.167,126.3,
222.599,120.43,
223.031,119.91,
223.464,118.72,
223.896,118.03,
224.328,124.75,
224.761,129.82,
225.193,128.56,
225.625,132.42,
226.058,136.4,
226.490,128.11,
226.922,129.97,
227.355,127.86,
227.787,122.45,
228.219,115.5,
228.652,110.43,
229.084,118.98,
229.516,127.25,
229.949,131.25,
230.381,127.12,
230.813,114.91,
231.246,109.1,
231.678,111.33,
232.110,114.74,
232.543,121.2,
232.975,129.93,
233.407,130.66,
233.840,122.33,
234.272,121.98,
234.704,122.01,
235.136,117.04,
235.569,107.59,
236.001,100.21,
236.433,114.12,
236.866,126.04,
237.298,128.71,
237.730,129.34,
238.163,134.84,
238.595,137.47,
239.027,135.67,
239.460,130.97,
239.892,127.14,
240.324,132.56,
240.757,129.03,
241.189,123.69,
241.621,118.54,
242.054,114.52,
242.486,112.73,
242.918,115.07,
243.351,118.31,
243.783,128.58,
244.215,143.09,
244.648,144.39,
245.080,124.73,
245.512,113.76,
245.945,114.28,
246.377,120.89,
246.809,122.79,
247.242,117.43,
247.674,119.18,
248.106,116.49,
248.539,115.35,
248.971,123.17,
249.403,125.2,
249.836,123.94,
250.268,122.48,
250.700,121.31,
251.133,120.3,
251.565,118.83,
251.997,124.36,
252.430,129.2,
252.862,129.21,
253.294,125.87,
253.727,124.74,
254.159,123.68,
254.591,129.85,
255.024,132.41,
255.456,132.23,
255.888,133.66,
256.320,138.21,
256.753,139.94,
257.185,136.76,
257.617,129.97,
258.050,124.52,
258.482,129.32,
258.914,133.56,
259.347,135.96,
259.779,137.25,
260.211,136.5,
260.644,132.72,
261.076,130.93,
261.508,123.79,
261.941,129.45,
262.373,132.87,
262.805,124.25,
263.238,120.41,
263.670,116.1,
264.102,107.38,
264.535,98.879,
264.967,92.859,
265.399,90.737,
265.832,110.35,
266.264,114.97,
266.696,114.27,
267.129,116.88,
267.561,124.05,
267.993,118.73,
268.426,120.22,
268.858,117.76,
269.290,111.87,
269.723,108.81,
270.155,117.51,
270.587,131.01,
271.020,135.59,
271.452,125.87,
271.884,116.62,
272.317,118.25,
272.749,114.64,
273.181,115.52,
273.614,120.35,
274.046,125.31,
274.478,125.76,
274.911,117.93,
275.343,105.88,
275.775,106.74,
276.208,107.8,
276.640,110.4,
277.072,117.06,
277.504,125.67,
277.937,132.67,
278.369,127.31,
