,Live Spectrum 8/25/2018 10:30:55 PM,
Wavelength [nm],Intensity,
222.167,102.9,
222.599,98.075,
223.031,115.71,
223.464,126.81,
223.896,125.49,
224.328,125.43,
224.761,112.47,
225.193,106.66,
225.625,103.24,
226.058,99.42,
226.490,94.186,
226.922,93.944,
227.355,96.014,
227.787,99.245,
228.219,102.71,
228.652,106.46,
229.084,117.43,
229.516,121.35,
229.949,118.47,
230.381,116.48,
230.813,121.48,
231.246,124.95,
231.678,122.4,
232.110,119.76,
232.543,116.91,
232.975,116.26,
233.407,128.78,
233.840,128.28,
234.272,119.43,
234.704,113.23,
235.136,114.14,
235.569,116.48,
236.001,108.81,
236.433,101.78,
236.866,100.21,
237.298,103.98,
237.730,108.53,
238.163,104.48,
238.595,104.68,
239.027,108.99,
239.460,112.42,
239.892,109.93,
240.324,111.22,
240.757,105.8,
241.189,111.91,
241.621,123.33,
242.054,130.2,
242.486,130.2,
242.918,135.67,
243.351,135.32,
243.783,131.12,
244.215,124.89,
244.648,115.89,
245.080,112.67,
245.512,103.06,
245.945,95.97,
246.377,93.593,
246.809,92.701,
247.242,94.405,
247.674,99.397,
248.106,99.721,
248.539,96.039,
248.971,92.642,
249.403,95.241,
249.836,101.79,
250.268,109.65,
250.700,120.43,
251.133,131.96,
251.565,134.15,
251.997,116.64,
252.430,104.63,
252.862,101.61,
253.294,106.84,
253.727,115.9,
254.159,117.61,
254.591,126.27,
255.024,125.41,
255.456,125.3,
255.888,136.66,
256.320,135.68,
256.753,115.03,
257.185,111.3,
257.617,119.56,
258.050,129.7,
258.482,132.7,
258.914,132.78,
259.347,130.83,
259.779,125.07,
260.211,120.25,
260.644,121.33,
261.076,108.44,
261.508,99.468,
261.941,106.37,
262.373,118.02,
262.805,123.69,
263.238,125.16,
263.670,127.74,
264.102,131.75,
264.535,131.34,
264.967,126.47,
265.399,121.4,
265.832,113.14,
266.264,115.44,
266.696,117.67,
267.129,117.97,
267.561,117.42,
267.993,118.07,
268.426,128.11,
268.858,120.46,
269.290,108.61,
269.723,101.87,
270.155,102.44,
270.587,107.52,
271.020,118.96,
271.452,122.99,
271.884,116.26,
272.317,104.19,
272.749,105.26,
273.181,108.29,
273.614,112.5,
274.046,112.35,
274.478,112.65,
274.911,123.41,
275.343,125.95,
275.775,125.24,
276.208,122.64,
276.640,122.23,
277.072,124.65,
277.504,122.43,
277.937,117.23,
278.369,122.04,
278.801,129.52,
279.234,136.07,
279.666,141.08,
280.098,143.54,
280.531,137.1,
280.963,130.13,
281.395,119.25,
281.828,108.79,
282.260,114.25,
282.692,112.44,
283.125,109.09,
283.557,106.42,
283.989,111.28,
284.422,125.61,
284.854,131.7,
285.286,127.31,
285.719,123.04,
286.151,115.57,
286.583,108.15,
287.016,108.3,
287.448,111.6,
287.880,137.01,
288.313,137.52,
288.745,129.59,
289.177,126.79,
289.610,118.15,
290.042,120.04,
290.474,120.13,
290.907,112.65,
291.339,111.21,
291.771,124.99,
292.204,128.95,
292.636,121.32,
293.068,115.09,
293.501,111.57,
293.933,109.05,
294.365,105.71,
294.798,108.35,
295.230,105.83,
295.662,114.96,
296.095,118.03,
296.527,110.34,
296.959,106.67,
297.392,110.72,
297.824,110.45,
298.256,112.08,
298.688,115.97,
299.121,119.21,
299.553,116.85,
299.985,124.13,
300.418,133.64,
300.850,136.4,
301.282,133.3,
301.715,127.01,
302.147,114.34,
302.579,113.69,
303.012,103.59,
303.444,98.518,
303.876,103.44,
304.309,113.84,
304.741,115.42,
305.173,111.57,
305.606,110.25,
306.038,107.25,
306.470,105.65,
306.903,112.55,
307.335,126.41,
307.767,111.9,
308.200,97.94,
308.632,97.355,
309.064,110.39,
309.497,124.92,
309.929,113.54,
310.361,114.49,
310.794,125.79,
311.226,134.48,
311.658,133.71,
312.091,126.45,
312.523,122.46,
312.955,120.53,
313.388,119.32,
313.820,118.4,
314.252,117.96,
314.685,118.73,
315.117,121.73,
315.549,125.09,
315.982,129.91,
316.414,130.16,
316.846,127.58,
317.279,132.12,
317.711,125.54,
318.143,121.87,
318.576,124.44,
319.008,128.8,
319.440,129.69,
319.872,124.48,
320.305,118.81,
320.737,127.67,
321.169,126.29,
321.602,120.31,
322.034,121.04,
322.466,134.81,
322.899,141.07,
323.331,142.17,
323.763,142.64,
324.196,136.16,
324.628,124.74,
325.060,120.01,
325.493,124.27,
325.925,130.18,
326.357,136.11,
326.790,133.96,
327.222,125.46,
327.654,119.13,
328.087,104.57,
328.519,108.86,
328.951,106.14,
329.384,106.31,
329.816,114.22,
330.248,123.05,
330.681,110.57,
331.113,117.9,
331.545,117.67,
331.978,119.25,
332.410,128.02,
332.842,137.54,
333.275,121.44,
333.707,114.04,
334.139,120.21,
334.572,125.59,
335.004,131.18,
335.436,138.26,
335.869,132.61,
336.301,116.08,
336.733,118.05,
337.166,121.43,
337.598,115.16,
338.030,104.9,
338.463,112.93,
338.895,116.63,
339.327,117.25,
339.760,121.83,
340.192,124.13,
340.624,121.2,
341.056,115.99,
341.489,106.15,
341.921,107.65,
342.353,117.02,
342.786,122.45,
343.218,122.14,
343.650,119.56,
344.083,109.29,
344.515,121.08,
344.947,121.93,
345.380,117.93,
345.812,113.45,
346.244,111.68,
346.677,114.87,
347.109,105.43,
347.541,105.62,
347.974,112.44,
348.406,114.33,
348.838,108.4,
349.271,103.2,
349.703,104.04,
350.135,120.42,
350.568,118.24,
351.000,121.67,
351.432,131.77,
351.865,136.11,
352.297,137.64,
352.729,127.75,
353.162,120.72,
353.594,123.85,
354.026,129.73,
354.459,130.11,
354.891,124.71,
355.323,123.7,
355.756,127.44,
356.188,117.69,
356.620,113.74,
357.053,119.3,
357.485,124.21,
357.917,124.8,
358.350,135.94,
358.782,136.34,
359.214,132.21,
359.647,127.34,
360.079,122.39,
360.511,117.65,
360.944,131.13,
361.376,146.23,
361.808,143.15,
362.240,137.3,
362.673,137.25,
363.105,140.01,
363.537,136.07,
363.970,140.48,
364.402,137.5,
364.834,122.29,
365.267,118.4,
365.699,127.63,
366.131,126.17,
366.564,132.28,
366.996,119.88,
367.428,116.15,
367.861,115.8,
368.293,117.57,
368.725,118.57,
369.158,109.58,
369.590,104.65,
370.022,111.05,
370.455,116.15,
370.887,123.17,
371.319,129.55,
371.752,131.29,
372.184,137.57,
372.616,135.27,
373.049,123.85,
373.481,129.91,
373.913,139.46,
374.346,137.82,
374.778,126.54,
375.210,117.68,
375.643,126.48,
376.075,132.06,
376.507,125.2,
376.940,120.02,
377.372,127.5,
377.804,137.92,
378.237,126.65,
378.669,123.43,
379.101,119.88,
379.534,114.72,
379.966,114.35,
380.398,123.13,
380.831,135.02,
381.263,137.84,
381.695,130.51,
382.128,131.32,
382.560,138.28,
382.992,142.82,
383.424,143.17,
383.857,152.99,
384.289,159.75,
384.721,148.26,
385.154,142.61,
385.586,144,
386.018,140.18,
386.451,124.04,
386.883,113.46,
387.315,129.56,
387.748,133.31,
388.180,129.33,
388.612,131.49,
389.045,133.48,
389.477,127.53,
389.909,136.79,
390.342,138.76,
390.774,140.81,
391.206,142.07,
391.639,139.73,
392.071,137.58,
392.503,139.34,
392.936,138.72,
393.368,148.76,
393.800,150.36,
394.233,153.11,
394.665,153.02,
395.097,149.81,
395.530,149.61,
395.962,160.09,
396.394,164.48,
396.827,159,
397.259,158.38,
397.691,152.25,
398.124,146.4,
398.556,148.87,
398.988,151.41,
399.421,152.61,
399.853,157.34,
400.285,159.49,
400.718,159.79,
401.150,161.93,
401.582,165.6,
402.015,163.9,
402.447,152.44,
402.879,146.69,
403.312,145.53,
403.744,158.78,
404.176,177.4,
404.608,193.32,
405.041,202.33,
405.473,181.18,
405.905,177.3,
406.338,183.64,
406.770,189.58,
407.202,192.31,
407.635,197.57,
408.067,208.8,
408.499,213.93,
408.932,217.99,
409.364,212.11,
409.796,217.41,
410.229,230.64,
410.661,243.32,
411.093,250.18,
411.526,254.55,
411.958,273.24,
412.390,289.69,
412.823,306.04,
413.255,319.21,
413.687,336.18,
414.120,354.3,
414.552,369.55,
414.984,411.42,
415.417,440.02,
415.849,461.41,
416.281,477.59,
416.714,494.17,
417.146,523.55,
417.578,565.29,
418.011,596.32,
418.443,623.56,
418.875,660.74,
419.308,705.91,
419.740,745.34,
420.172,797.86,
420.605,866.62,
421.037,930.41,
421.469,983.58,
421.902,1060.6,
422.334,1155.7,
422.766,1249.5,
423.199,1342.2,
423.631,1430,
424.063,1511.6,
424.496,1597.6,
424.928,1703.3,
425.360,1844.2,
425.792,2001.1,
426.225,2134.1,
426.657,2246.8,
427.089,2372.1,
427.522,2532.3,
427.954,2707,
428.386,2886.9,
428.819,3068.3,
429.251,3281.1,
429.683,3505.7,
430.116,3739.5,
430.548,3967.2,
430.980,4174.8,
431.413,4400.7,
431.845,4703.4,
432.277,4925.2,
432.710,5271.8,
433.142,5609.4,
433.574,5887,
434.007,6125.2,
434.439,6365,
434.871,6660,
435.304,7006.9,
435.736,7325.1,
436.168,7689.4,
436.601,8032.4,
437.033,8299.4,
437.465,8505.3,
437.898,8716.7,
438.330,8966.3,
438.762,9172.1,
439.195,9343.2,
439.627,9409,
440.059,9456.4,
440.492,9518.6,
440.924,9502,
441.356,9293.1,
441.789,9013.4,
442.221,8864.4,
442.653,8814.8,
443.086,8687,
443.518,8492,
443.950,8227.7,
444.383,7922.8,
444.815,7644.2,
445.247,7400.2,
445.679,7104.1,
446.112,6742.7,
446.544,6442.4,
446.976,6206.4,
447.409,5941.4,
447.841,5640,
448.273,5393.3,
448.706,5227.1,
449.138,5050.5,
449.570,4781,
450.003,4507.5,
450.435,4268.9,
450.867,4085.2,
451.300,3948.6,
451.732,3826.5,
452.164,3678.9,
452.597,3490.4,
453.029,3301.6,
453.461,3111.1,
453.894,2947.3,
454.326,2806.5,
454.758,2705.5,
455.191,2634.9,
455.623,2547.7,
456.055,2464.1,
456.488,2383.5,
456.920,2294.2,
457.352,2201.5,
457.785,2105,
458.217,2006.3,
458.649,1919.8,
459.082,1848,
459.514,1760.3,
459.946,1715.9,
460.379,1648.6,
460.811,1580.3,
461.243,1524.4,
461.676,1462.9,
462.108,1395.5,
462.540,1334.1,
462.973,1277,
463.405,1202.4,
463.837,1150.6,
464.270,1119.8,
464.702,1080.7,
465.134,1042.3,
465.567,1001.9,
465.999,963.42,
466.431,930.67,
466.863,890.92,
467.296,847.55,
467.728,813.27,
468.160,795.75,
468.593,768.83,
469.025,741.17,
469.457,723.91,
469.890,711.16,
470.322,693.46,
470.754,682.33,
471.187,672.21,
471.619,658.15,
472.051,642.12,
472.484,613.58,
472.916,586.7,
473.348,563.31,
473.781,544.26,
474.213,533.16,
474.645,519.47,
475.078,501.16,
475.510,469.7,
475.942,452.94,
476.375,448.71,
476.807,442.3,
477.239,433.66,
477.672,431.62,
478.104,431.75,
478.536,410.82,
478.969,395.51,
479.401,392.58,
479.833,384.2,
480.266,363.33,
480.698,352.92,
481.130,347.96,
481.563,336.88,
481.995,323.07,
482.427,316,
482.860,323.62,
