,Live Spectrum 8/25/2018 8:55:24 PM,
Wavelength [nm],Intensity,
222.167,60.358,
222.599,57.463,
223.031,54.871,
223.464,51.839,
223.896,47.819,
224.328,42.346,
224.761,31.399,
225.193,42.225,
225.625,51.392,
226.058,48.487,
226.490,32.893,
226.922,25.24,
227.355,33.235,
227.787,45.377,
228.219,52.452,
228.652,49.365,
229.084,53.557,
229.516,62.724,
229.949,70.636,
230.381,71.417,
230.813,62.145,
231.246,50.365,
231.678,45.754,
232.110,46.212,
232.543,49.418,
232.975,52.425,
233.407,51.133,
233.840,66.203,
234.272,57.706,
234.704,51.085,
235.136,56.186,
235.569,53.681,
236.001,60.386,
236.433,66.019,
236.866,64.924,
237.298,58.659,
237.730,54.562,
238.163,54.643,
238.595,65.823,
239.027,66.768,
239.460,55.289,
239.892,40.453,
240.324,44.42,
240.757,64.201,
241.189,68.382,
241.621,61.935,
242.054,57.917,
242.486,66.423,
242.918,61.06,
243.351,54.521,
243.783,50.884,
244.215,53.169,
244.648,63.952,
245.080,77.869,
245.512,71.312,
245.945,61.53,
246.377,51.818,
246.809,35.877,
247.242,36.202,
247.674,44.31,
248.106,50.672,
248.539,51.962,
248.971,49.296,
249.403,52.626,
249.836,44.477,
250.268,40.489,
250.700,42.358,
251.133,47.109,
251.565,47.353,
251.997,56.099,
252.430,60.85,
252.862,61.069,
253.294,61.571,
253.727,69.082,
254.159,62.655,
254.591,66.148,
255.024,65.474,
255.456,55.041,
255.888,37.304,
256.320,32.744,
256.753,50.249,
257.185,56.134,
257.617,52.213,
258.050,47.056,
258.482,51.792,
258.914,58.312,
259.347,61.661,
259.779,60.555,
260.211,59.157,
260.644,63.402,
261.076,69.928,
261.508,74.318,
261.941,72.222,
262.373,67.751,
262.805,65.338,
263.238,65.747,
263.670,69.802,
264.102,76.282,
264.535,72.089,
264.967,62.147,
265.399,62.963,
265.832,57.571,
266.264,40.723,
266.696,43.173,
267.129,53.081,
267.561,54.055,
267.993,50.13,
268.426,46.438,
268.858,34.234,
269.290,30.733,
269.723,35.075,
270.155,31.308,
270.587,32.045,
271.020,43.718,
271.452,53.253,
271.884,56.898,
272.317,57.888,
272.749,69.603,
273.181,75.098,
273.614,69.782,
274.046,63.07,
274.478,55.033,
274.911,39.803,
275.343,34.145,
275.775,37.736,
276.208,43.769,
276.640,54.944,
277.072,70.113,
277.504,76.267,
277.937,66.817,
278.369,50.205,
278.801,32.792,
279.234,24.277,
279.666,32.163,
280.098,44.566,
280.531,48.434,
280.963,50.585,
281.395,59.187,
281.828,70.167,
282.260,64.11,
282.692,58.93,
283.125,55.018,
283.557,58.318,
283.989,62.162,
284.422,60.085,
284.854,62.06,
285.286,53.479,
285.719,48.577,
286.151,52.442,
286.583,63.259,
287.016,74.39,
287.448,82.379,
287.880,73.021,
288.313,68.402,
288.745,66.412,
289.177,64.095,
289.610,64.611,
290.042,62.633,
290.474,61.924,
290.907,57.515,
291.339,50.771,
291.771,46.045,
292.204,48.273,
292.636,51.296,
293.068,51.006,
293.501,48.89,
293.933,47.302,
294.365,47.332,
294.798,41.963,
295.230,43.854,
295.662,59.659,
296.095,72.403,
296.527,72.218,
296.959,63.394,
297.392,65.461,
297.824,55.634,
298.256,55.204,
298.688,56.937,
299.121,54.505,
299.553,55.718,
299.985,63.498,
300.418,56.89,
300.850,56.56,
301.282,56.548,
301.715,48.908,
302.147,47.583,
302.579,57.559,
303.012,65.44,
303.444,64.843,
303.876,57.159,
304.309,47.422,
304.741,37.473,
305.173,45.294,
305.606,66.278,
306.038,74.975,
306.470,67.19,
306.903,54.281,
307.335,37.019,
307.767,41.776,
308.200,47.703,
308.632,43.656,
309.064,36.197,
309.497,42.56,
309.929,55.104,
310.361,46.861,
310.794,47.189,
311.226,48.528,
311.658,48.737,
312.091,53.854,
312.523,41.214,
312.955,42.702,
313.388,46.938,
313.820,52.636,
314.252,57.025,
314.685,54.675,
315.117,47.1,
315.549,52.793,
315.982,49.754,
316.414,45.695,
316.846,47.287,
317.279,51.216,
317.711,47.883,
318.143,45.277,
318.576,46.028,
319.008,44.144,
319.440,40.863,
319.872,46.472,
320.305,53.395,
320.737,57.763,
321.169,57.139,
321.602,57.972,
322.034,59.94,
322.466,55.491,
322.899,62.003,
323.331,48.881,
323.763,37.136,
324.196,37.452,
324.628,48.407,
325.060,57.681,
325.493,52.666,
325.925,37.284,
326.357,35.764,
326.790,40.402,
327.222,44.705,
327.654,48.844,
328.087,53.947,
328.519,58.128,
328.951,58.47,
329.384,60.883,
329.816,66.352,
330.248,70.676,
330.681,68.667,
331.113,69.43,
331.545,79.741,
331.978,78.592,
332.410,64.807,
332.842,52.91,
333.275,59.616,
333.707,49.008,
334.139,51.075,
334.572,52.96,
335.004,52.356,
335.436,54.083,
335.869,64.306,
336.301,78.49,
336.733,69.935,
337.166,65.058,
337.598,60.998,
338.030,53.882,
338.463,53.067,
338.895,56.428,
339.327,64.55,
339.760,60.827,
340.192,51.37,
340.624,45.722,
341.056,49.339,
341.489,58.926,
341.921,60.746,
342.353,54.878,
342.786,47.383,
343.218,48.806,
343.650,63.527,
344.083,71.608,
344.515,83.409,
344.947,84.989,
345.380,79.963,
345.812,65.146,
346.244,45.296,
346.677,42.612,
347.109,52.641,
347.541,52.9,
347.974,50.701,
348.406,50.712,
348.838,53.546,
349.271,55.858,
349.703,53.242,
350.135,52.039,
350.568,56.597,
351.000,50.528,
351.432,44.327,
351.865,55.712,
352.297,72.656,
352.729,72.318,
353.162,64.196,
353.594,50.614,
354.026,43.56,
354.459,49.943,
354.891,63.016,
355.323,60.31,
355.756,59.828,
356.188,65.886,
356.620,60.676,
357.053,46.819,
357.485,44.144,
357.917,69.282,
358.350,65.139,
358.782,52.272,
359.214,48.847,
359.647,48.482,
360.079,48.053,
360.511,58.321,
360.944,65.439,
361.376,72.094,
361.808,61.801,
362.240,51.689,
362.673,47.733,
363.105,44.154,
363.537,34.894,
363.970,24.798,
364.402,30.835,
364.834,44.814,
365.267,49.683,
365.699,47.113,
366.131,57.35,
366.564,75.61,
366.996,61.981,
367.428,50.664,
367.861,46.407,
368.293,43.74,
368.725,40.018,
369.158,43.731,
369.590,49.514,
370.022,49.1,
370.455,49.971,
370.887,52.221,
371.319,51.34,
371.752,45.49,
372.184,45.693,
372.616,48.588,
373.049,45.492,
373.481,50.329,
373.913,53.533,
374.346,47.604,
374.778,37.888,
375.210,39.507,
375.643,53.096,
376.075,58.399,
376.507,65.078,
376.940,68.04,
377.372,66.023,
377.804,69.584,
378.237,70.779,
378.669,63.212,
379.101,71.919,
379.534,76.752,
379.966,71.351,
380.398,60.633,
380.831,50.555,
381.263,46.625,
381.695,46.026,
382.128,54.267,
382.560,67.244,
382.992,73.044,
383.424,68.627,
383.857,73.212,
384.289,75.863,
384.721,59.81,
385.154,48.251,
385.586,45.627,
386.018,45.158,
386.451,41.114,
386.883,41.419,
387.315,42.703,
387.748,47.454,
388.180,54.937,
388.612,65.576,
389.045,68.855,
389.477,57.502,
389.909,48.982,
390.342,56.185,
390.774,63.465,
391.206,63.785,
391.639,62.377,
392.071,53.904,
392.503,38.551,
392.936,45.594,
393.368,63.795,
393.800,64.031,
394.233,69.103,
394.665,80.562,
395.097,86.043,
395.530,81.083,
395.962,86.933,
396.394,94.068,
396.827,85.673,
397.259,71.538,
397.691,54.68,
398.124,42.831,
398.556,40.106,
398.988,39.729,
399.421,41.623,
399.853,45.994,
400.285,44.22,
400.718,50.942,
401.150,60.907,
401.582,63.931,
402.015,59.675,
402.447,48.386,
402.879,51.939,
403.312,53.173,
403.744,58.561,
404.176,65.919,
404.608,64.707,
405.041,50.919,
405.473,56.172,
405.905,59.192,
406.338,55.936,
406.770,59.186,
407.202,64.825,
407.635,65.837,
408.067,62.126,
408.499,64.18,
408.932,71.784,
409.364,67.436,
409.796,59.233,
410.229,47.428,
410.661,37.968,
411.093,38.73,
411.526,50.805,
411.958,57.293,
412.390,60.878,
412.823,54.604,
413.255,44.546,
413.687,47.167,
414.120,56.917,
414.552,54.412,
414.984,55.848,
415.417,58.967,
415.849,74.365,
416.281,72.413,
416.714,60.25,
417.146,53.364,
417.578,58.946,
418.011,68.413,
418.443,64.249,
418.875,59.836,
419.308,61.324,
419.740,56.214,
420.172,50.163,
420.605,50.469,
421.037,56.119,
421.469,61.414,
421.902,74.445,
422.334,63.309,
422.766,57.341,
423.199,54.161,
423.631,55.149,
424.063,57.745,
424.496,51.306,
424.928,45.913,
425.360,49.475,
425.792,52.399,
426.225,62.343,
426.657,67.273,
427.089,63.317,
427.522,55.091,
427.954,44.319,
428.386,45.974,
428.819,58.872,
429.251,75.381,
429.683,79.023,
430.116,71.432,
430.548,61.772,
430.980,56.036,
431.413,52.611,
431.845,48.86,
432.277,67.574,
432.710,75.093,
433.142,71.254,
433.574,64.602,
434.007,63.387,
434.439,67.673,
434.871,65.268,
435.304,76.188,
435.736,81.042,
436.168,76.695,
436.601,70.634,
437.033,60.493,
437.465,54.332,
437.898,64.42,
438.330,61.12,
438.762,62.695,
439.195,44.194,
439.627,41.037,
440.059,48.423,
440.492,58.719,
440.924,64.872,
441.356,63.32,
441.789,64.079,
442.221,62.239,
442.653,65.774,
443.086,62.423,
443.518,52.374,
443.950,43.529,
444.383,41.292,
444.815,44.901,
445.247,53.532,
445.679,68.274,
446.112,65.503,
446.544,76.682,
446.976,81.864,
447.409,81.735,
447.841,83.619,
448.273,81.798,
448.706,60.524,
449.138,65.885,
449.570,66.742,
450.003,62.08,
450.435,57.314,
450.867,59.134,
451.300,66.416,
451.732,72.706,
452.164,74.08,
452.597,67.92,
453.029,62.281,
453.461,62.361,
453.894,51.084,
454.326,56.932,
454.758,68.425,
455.191,66.52,
455.623,63.211,
456.055,63.491,
456.488,75.921,
456.920,70.009,
457.352,70.99,
457.785,74.179,
458.217,69.443,
458.649,60.572,
459.082,60.152,
459.514,68.515,
459.946,77.432,
460.379,63.716,
460.811,56.251,
461.243,54.27,
461.676,64.016,
462.108,76.614,
462.540,78.481,
462.973,71.83,
463.405,77.554,
463.837,81.268,
464.270,71.448,
464.702,61.528,
465.134,59.019,
465.567,51.664,
465.999,39.456,
466.431,36.776,
466.863,48.341,
467.296,55.865,
467.728,56.397,
468.160,63.431,
468.593,63.818,
469.025,60.445,
469.457,58.004,
469.890,58.151,
470.322,58.321,
470.754,57.299,
471.187,80.897,
471.619,77.473,
472.051,71.373,
472.484,64.828,
472.916,64.961,
473.348,64.43,
473.781,65.315,
474.213,72.733,
474.645,62.933,
475.078,66.488,
475.510,81.456,
475.942,75.524,
476.375,60.749,
476.807,59.762,
477.239,61.175,
477.672,59.075,
478.104,65.339,
478.536,69.488,
478.969,69.755,
479.401,67.474,
479.833,66.236,
480.266,74.864,
480.698,84.634,
481.130,81.748,
481.563,74.556,
481.995,77.463,
482.427,74.618,
482.860,71.291,
483.292,75.216,
483.724,70.276,
484.157,64.278,
484.589,58.356,
485.021,52.418,
485.454,51.677,
485.886,52.971,
486.318,43.971,
486.751,54.865,
487.183,63.799,
487.615,71.245,
488.047,72.947,
488.480,70.781,
488.912,70.836,
489.344,72.783,
489.777,69.473,
490.209,60.977,
490.641,66.018,
491.074,69.687,
491.506,55.978,
491.938,65.113,
492.371,62.342,
492.803,62.179,
493.235,64.496,
493.668,67.222,
494.100,70.471,
494.532,66.121,
494.965,64.682,
495.397,63.157,
495.829,59.872,
496.262,63.451,
496.694,65.528,
497.126,63.897,
497.559,65.324,
497.991,68.061,
498.423,66.187,
498.856,68.929,
499.288,58.071,
499.720,67.774,
500.153,68.087,
500.585,64.667,
501.017,64.71,
501.450,64.069,
501.882,58.366,
502.314,53.663,
502.747,58.94,
503.179,65.841,
503.611,56.285,
504.044,66.097,
504.476,58.369,
504.908,58.639,
505.341,53.425,
505.773,51.924,
506.205,55.653,
506.638,64.688,
507.070,77.023,
507.502,66.783,
507.935,61.536,
508.367,82.01,
508.799,75.673,
509.231,71.631,
509.664,63.327,
510.096,59.917,
510.528,65.415,
510.961,75.786,
511.393,86.695,
511.825,92.349,
512.258,80.18,
512.690,74.938,
513.122,71.407,
513.555,61.136,
513.987,61.51,
514.419,64.508,
514.852,66.924,
515.284,71.578,
515.716,79.777,
516.149,89.626,
516.581,95.579,
517.013,83.085,
517.446,82.064,
517.878,70.139,
518.310,62.851,
518.743,60.996,
519.175,57.843,
519.607,59.229,
520.040,68.343,
520.472,77.988,
520.904,83.705,
521.337,73.015,
521.769,72.38,
522.201,73.148,
522.634,67.371,
523.066,57.651,
523.498,61.512,
523.931,68.852,
524.363,72.997,
524.795,76.048,
525.228,77.411,
525.660,79.035,
526.092,82.008,
526.525,84.554,
526.957,78.988,
527.389,73.935,
527.822,72.135,
528.254,66.017,
528.686,65.592,
529.119,70.339,
529.551,75.494,
529.983,82.98,
530.415,85.842,
530.848,80.333,
531.280,73.133,
531.712,82.03,
532.145,83.719,
532.577,74.018,
533.009,72.559,
533.442,72.446,
533.874,75.557,
534.306,79.971,
534.739,78.251,
535.171,77.516,
535.603,71.773,
536.036,68.248,
536.468,61.396,
536.900,67.847,
537.333,73.467,
537.765,68.158,
538.197,60.067,
538.630,61.048,
539.062,68.89,
539.494,77.434,
539.927,82.696,
540.359,76.688,
540.791,82.557,
541.224,87.501,
541.656,99.686,
542.088,104,
542.521,96.55,
542.953,90.98,
543.385,87.393,
543.818,81.526,
544.250,78.228,
544.682,80.759,
545.115,83.527,
545.547,87.563,
545.979,90.735,
546.412,89.175,
546.844,92.519,
547.276,101.62,
547.709,101.22,
548.141,93.694,
548.573,91.364,
549.006,101.87,
549.438,109.88,
549.870,104.81,
550.303,98.941,
550.735,98.1,
551.167,100.75,
551.599,98.257,
552.032,113.62,
552.464,92.081,
552.896,85.632,
553.329,88.217,
553.761,87.3,
554.193,94.04,
554.626,99.569,
555.058,98.766,
555.490,101.13,
555.923,102.4,
556.355,97.092,
556.787,87.918,
557.220,69.562,
557.652,73.495,
558.084,88.982,
558.517,102.62,
558.949,93.466,
559.381,85.746,
559.814,87.818,
560.246,89.387,
560.678,89.092,
561.111,89.397,
561.543,84.516,
561.975,83.436,
562.408,89.649,
562.840,93.101,
563.272,104.66,
563.705,100.52,
564.137,103.87,
564.569,108.72,
565.002,101.56,
565.434,98.462,
565.866,88.421,
566.299,79.601,
566.731,85.026,
567.163,85.91,
567.596,88.349,
568.028,92.999,
568.460,99.984,
568.893,113.16,
569.325,107.35,
569.757,105.17,
570.190,99.344,
570.622,98.174,
571.054,93.867,
571.487,93.825,
571.919,100.96,
572.351,100.83,
572.783,97.645,
573.216,111.39,
573.648,118.13,
574.080,102.71,
574.513,99.367,
574.945,115.37,
575.377,112.58,
575.810,120.98,
576.242,121.12,
576.674,120.87,
577.107,119.25,
577.539,117.47,
577.971,120.02,
578.404,120.36,
578.836,116.06,
579.268,119.42,
579.701,130.11,
580.133,135.38,
580.565,148.91,
580.998,141.13,
581.430,139.82,
581.862,139.31,
582.295,137.86,
582.727,142.39,
583.159,143.89,
583.592,146.04,
584.024,140.01,
584.456,132.64,
584.889,137.49,
585.321,144.9,
585.753,142.57,
586.186,143.93,
586.618,148.59,
587.050,146.78,
587.483,155.64,
587.915,152.84,
588.347,175.79,
588.780,178.57,
589.212,178.89,
589.644,184.65,
590.077,187.52,
590.509,183.28,
590.941,185.9,
591.374,187.77,
591.806,177.8,
592.238,173.84,
592.671,185.62,
593.103,194.52,
593.535,210.09,
593.967,210.27,
594.400,215.36,
594.832,227.67,
595.264,224.57,
595.697,220.4,
596.129,228.84,
596.561,241.25,
596.994,256.7,
597.426,269.64,
597.858,275.66,
598.291,277.56,
598.723,280.76,
599.155,285.75,
