,Live Spectrum 8/25/2018 9:13:02 PM,
Wavelength [nm],Intensity,
222.167,16.819,
222.599,17.463,
223.031,16.097,
223.464,16.112,
223.896,16.385,
224.328,12.356,
224.761,13.644,
225.193,12.97,
225.625,15.049,
226.058,17.421,
226.490,14.398,
226.922,15.687,
227.355,10.373,
227.787,5.6548,
228.219,5.1793,
228.652,10.01,
229.084,14.041,
229.516,17.521,
229.949,20.062,
230.381,21.927,
230.813,23.518,
231.246,24.971,
231.678,23.309,
232.110,23.257,
232.543,22.397,
232.975,19.459,
233.407,18.571,
233.840,25.749,
234.272,27.792,
234.704,29.389,
235.136,32.762,
235.569,34.702,
236.001,39.204,
236.433,37.273,
236.866,33.523,
237.298,33.17,
237.730,40.442,
238.163,38.663,
238.595,33.553,
239.027,28.432,
239.460,25.148,
239.892,24.419,
240.324,24.419,
240.757,18.752,
241.189,14.842,
241.621,14.058,
242.054,14.695,
242.486,10.158,
242.918,16.267,
243.351,17.747,
243.783,18.628,
244.215,22.433,
244.648,28.757,
245.080,23.199,
245.512,23.539,
245.945,26.617,
246.377,29.981,
246.809,32.205,
247.242,33.666,
247.674,30.699,
248.106,23.664,
248.539,16.493,
248.971,13.202,
249.403,12.309,
249.836,9.9528,
250.268,9.3912,
250.700,10.082,
251.133,11.173,
251.565,12.392,
251.997,18.299,
252.430,18.908,
252.862,16.888,
253.294,14.873,
253.727,14.853,
254.159,17.131,
254.591,21.434,
255.024,22.293,
255.456,23.702,
255.888,28.695,
256.320,23.647,
256.753,22.847,
257.185,24.063,
257.617,22.909,
258.050,19.276,
258.482,19.509,
258.914,17.39,
259.347,18.759,
259.779,18.201,
260.211,16.935,
260.644,19.386,
261.076,24.117,
261.508,16.603,
261.941,11.577,
262.373,11.842,
262.805,15.736,
263.238,17.858,
263.670,21.329,
264.102,21.549,
264.535,22.185,
264.967,21.482,
265.399,15.005,
265.832,17.538,
266.264,23.126,
266.696,28.489,
267.129,31.683,
267.561,33.231,
267.993,38.873,
268.426,37.79,
268.858,32.317,
269.290,29.756,
269.723,31.061,
270.155,31.211,
270.587,26.628,
271.020,25.366,
271.452,23.331,
271.884,23.335,
272.317,27.907,
272.749,33.887,
273.181,35.537,
273.614,42.717,
274.046,45.755,
274.478,43.181,
274.911,40.325,
275.343,32.945,
275.775,31.425,
276.208,34.693,
276.640,34.318,
277.072,26.566,
277.504,20.903,
277.937,26.48,
278.369,27.379,
278.801,24.236,
279.234,23.654,
279.666,30.506,
280.098,21.552,
280.531,27.685,
280.963,29.048,
281.395,31.421,
281.828,38.21,
282.260,43.253,
282.692,26.973,
283.125,27.461,
283.557,28.189,
283.989,26.618,
284.422,26.54,
284.854,32.711,
285.286,34.192,
285.719,35.79,
286.151,38.162,
286.583,40.471,
287.016,41.023,
287.448,38.882,
287.880,39.921,
288.313,36.099,
288.745,31.444,
289.177,31.454,
289.610,39.057,
290.042,40.623,
290.474,38.78,
290.907,33.476,
291.339,28.61,
291.771,27.39,
292.204,26.648,
292.636,22.809,
293.068,24.482,
293.501,24.384,
293.933,24.249,
294.365,29.151,
294.798,24.277,
295.230,25.242,
295.662,28.191,
296.095,29.538,
296.527,30.8,
296.959,37.552,
297.392,38.048,
297.824,30.332,
298.256,31.935,
298.688,34.272,
299.121,31.948,
299.553,35.938,
299.985,36.849,
300.418,33.994,
300.850,33.52,
301.282,33.108,
301.715,30.157,
302.147,29.826,
302.579,32.665,
303.012,34.474,
303.444,35.778,
303.876,39.87,
304.309,47.22,
304.741,43.987,
305.173,38.708,
305.606,36.088,
306.038,35.631,
306.470,37.147,
306.903,38.664,
307.335,27.129,
307.767,27.978,
308.200,32.683,
308.632,36.667,
309.064,37.606,
309.497,36.069,
309.929,38.479,
310.361,30.194,
310.794,28.651,
311.226,30.808,
311.658,32.809,
312.091,33.807,
312.523,34.805,
312.955,38.526,
313.388,34.709,
313.820,32.738,
314.252,35.411,
314.685,34.405,
315.117,30.327,
315.549,33.027,
315.982,37.028,
316.414,35.393,
316.846,29.315,
317.279,28.432,
317.711,25.849,
318.143,29.518,
318.576,36.233,
319.008,34.367,
319.440,25.744,
319.872,27.866,
320.305,32.537,
320.737,33.996,
321.169,36.747,
321.602,34.152,
322.034,26.766,
322.466,24.66,
322.899,25.161,
323.331,36.366,
323.763,34.758,
324.196,35.074,
324.628,41.983,
325.060,43.579,
325.493,45.25,
325.925,39.259,
326.357,38.218,
326.790,38.708,
327.222,40.185,
327.654,45.508,
328.087,48.017,
328.519,46.604,
328.951,45.028,
329.384,42.37,
329.816,40.032,
330.248,40.108,
330.681,38.601,
331.113,33.844,
331.545,36.841,
331.978,37.869,
332.410,34.017,
332.842,30.704,
333.275,40.512,
333.707,25.127,
334.139,30.684,
334.572,34.174,
335.004,30.629,
335.436,25.937,
335.869,26.019,
336.301,26.019,
336.733,25.395,
337.166,30.661,
337.598,33.173,
338.030,29.962,
338.463,32.834,
338.895,34.682,
339.327,34.407,
339.760,32.959,
340.192,33.177,
340.624,33.702,
341.056,29.642,
341.489,22.746,
341.921,29.988,
342.353,36.546,
342.786,37.703,
343.218,34.987,
343.650,32.748,
344.083,32.327,
344.515,32.319,
344.947,34.258,
345.380,35.373,
345.812,34.108,
346.244,31.656,
346.677,32.593,
347.109,40.852,
347.541,34.998,
347.974,39.519,
348.406,37.063,
348.838,28.636,
349.271,36.588,
349.703,28.489,
350.135,33.568,
350.568,38.576,
351.000,41.612,
351.432,41.326,
351.865,36.467,
352.297,26.85,
352.729,31.411,
353.162,33.123,
353.594,36.597,
354.026,37.563,
354.459,36.463,
354.891,41.877,
355.323,44.752,
355.756,41.645,
356.188,38.352,
356.620,37.837,
357.053,39.285,
357.485,39.666,
357.917,37.127,
358.350,40.327,
358.782,43.268,
359.214,38.837,
359.647,37.618,
360.079,42.432,
360.511,40.285,
360.944,45.284,
361.376,54.464,
361.808,55.776,
362.240,52.954,
362.673,50.175,
363.105,49.17,
363.537,48.933,
363.970,49.782,
364.402,57.525,
364.834,48.477,
365.267,43.004,
365.699,47.478,
366.131,43.042,
366.564,40.834,
366.996,37.901,
367.428,34.665,
367.861,31.149,
368.293,30.97,
368.725,32.657,
369.158,26.045,
369.590,35.739,
370.022,39.918,
370.455,42.011,
370.887,45.279,
371.319,46.348,
371.752,41.172,
372.184,37.099,
372.616,27.137,
373.049,30.441,
373.481,26.827,
373.913,28.312,
374.346,39.509,
374.778,48.39,
375.210,51.714,
375.643,55.782,
376.075,54.518,
376.507,54.103,
376.940,55.962,
377.372,58.119,
377.804,57.491,
378.237,51.518,
378.669,56.058,
379.101,57.969,
379.534,57.664,
379.966,57.234,
380.398,57.302,
380.831,56.449,
381.263,60.721,
381.695,62.127,
382.128,58.014,
382.560,56.872,
382.992,58.962,
383.424,59.262,
383.857,55.882,
384.289,51.776,
384.721,49.342,
385.154,52.354,
385.586,53.44,
386.018,52.972,
386.451,57.314,
386.883,68.735,
387.315,66.936,
387.748,64.459,
388.180,63.109,
388.612,66.082,
389.045,68.688,
389.477,66.192,
389.909,66.855,
390.342,74.315,
390.774,78.912,
391.206,79.08,
391.639,77.199,
392.071,76.835,
392.503,78.195,
392.936,75.165,
393.368,77.998,
393.800,78.015,
394.233,80.773,
394.665,83.957,
395.097,86.365,
395.530,86.873,
395.962,82.54,
396.394,87.353,
396.827,89.994,
397.259,89.856,
397.691,91.356,
398.124,91.571,
398.556,90.504,
398.988,98.089,
399.421,98.864,
399.853,89.569,
400.285,87.814,
400.718,95.261,
401.150,101.9,
401.582,100.38,
402.015,95.499,
402.447,96.964,
402.879,103.57,
403.312,109.62,
403.744,112,
