,Live Spectrum 8/25/2018 10:31:40 PM,
Wavelength [nm],Intensity,
222.167,118.2,
222.599,126.73,
223.031,117.72,
223.464,103.32,
223.896,97.647,
224.328,114.42,
224.761,118.77,
225.193,116.98,
225.625,121.67,
226.058,131.11,
226.490,134.39,
226.922,116.19,
227.355,113.76,
227.787,119,
228.219,120.07,
228.652,108.36,
229.084,110.06,
229.516,126.81,
229.949,140.66,
230.381,140.55,
230.813,124.05,
231.246,114.93,
231.678,120.37,
232.110,117.7,
232.543,109.54,
232.975,102.85,
233.407,105.36,
233.840,112.12,
234.272,112.61,
234.704,117.31,
235.136,125.79,
235.569,120.05,
236.001,111.83,
236.433,116.56,
236.866,113.01,
237.298,100.42,
237.730,95.849,
238.163,115.42,
238.595,129.39,
239.027,122.46,
239.460,110.46,
239.892,117.08,
240.324,119.92,
240.757,114.84,
241.189,105.47,
241.621,101.86,
242.054,110.35,
242.486,121.28,
242.918,119.18,
243.351,121.11,
243.783,120.92,
244.215,114.91,
244.648,106.88,
245.080,113.3,
245.512,113.12,
245.945,108.34,
246.377,105.39,
246.809,111.82,
247.242,112.23,
247.674,104.65,
248.106,99.983,
248.539,99.796,
248.971,102.73,
249.403,110.52,
249.836,100.04,
250.268,100.41,
250.700,104.38,
251.133,100.9,
251.565,82.614,
251.997,93.563,
252.430,104.89,
252.862,109.04,
253.294,106.2,
253.727,102.31,
254.159,97.261,
254.591,96.806,
255.024,101.64,
255.456,104.35,
255.888,100.46,
256.320,107.87,
256.753,100.9,
257.185,112.02,
257.617,120.25,
258.050,114.33,
258.482,107.26,
258.914,118.67,
259.347,122.34,
259.779,121.47,
260.211,124.37,
260.644,136.75,
261.076,128.1,
261.508,126.43,
261.941,120.61,
262.373,114.91,
262.805,112.67,
263.238,107.94,
263.670,121.52,
264.102,128.27,
264.535,125.7,
264.967,122.49,
265.399,131.77,
265.832,131.36,
266.264,137.2,
266.696,138.47,
267.129,132.56,
267.561,124.04,
267.993,129.27,
268.426,145.46,
268.858,146.18,
269.290,138.64,
269.723,130.51,
270.155,126.1,
270.587,112.76,
271.020,116.79,
271.452,121.34,
271.884,116.8,
272.317,104.15,
272.749,104.97,
273.181,100.43,
273.614,107.39,
274.046,116.07,
274.478,120.5,
274.911,120.61,
275.343,125.69,
275.775,119.06,
276.208,127.37,
276.640,134.2,
277.072,127.05,
277.504,123.36,
277.937,119.1,
278.369,115.27,
278.801,113.42,
279.234,113.91,
279.666,115.84,
280.098,116.17,
280.531,113.11,
280.963,106.7,
281.395,105.95,
281.828,111.5,
282.260,111.24,
282.692,116.01,
283.125,107.01,
283.557,99.696,
283.989,100.71,
284.422,109.48,
284.854,115.98,
285.286,111.22,
285.719,106.84,
286.151,102.24,
286.583,102.96,
287.016,116.38,
287.448,124.86,
287.880,123.8,
288.313,124.59,
288.745,120.48,
289.177,111.44,
289.610,112.13,
290.042,117.49,
290.474,116.83,
290.907,116.15,
291.339,120.09,
291.771,129.62,
292.204,137.79,
292.636,121.43,
293.068,106.33,
293.501,100.72,
293.933,101.43,
294.365,100.59,
294.798,106.45,
295.230,115.91,
295.662,123.21,
296.095,127.8,
296.527,130.72,
296.959,133.12,
297.392,127.25,
297.824,128.31,
298.256,131.13,
298.688,132.9,
299.121,130.27,
299.553,118.88,
299.985,112.92,
300.418,113.35,
300.850,114.95,
301.282,120.13,
301.715,128.59,
302.147,126.44,
302.579,107.21,
303.012,94.524,
303.444,99.824,
303.876,110.88,
304.309,110.43,
304.741,109.36,
305.173,102.07,
305.606,115.13,
306.038,122.23,
306.470,123.94,
306.903,134.93,
307.335,127.21,
307.767,118.19,
308.200,114.29,
308.632,118.12,
309.064,129.77,
309.497,144.44,
309.929,138.04,
