,Live Spectrum 8/25/2018 10:32:44 PM,
Wavelength [nm],Intensity,
222.167,143,
222.599,140.43,
223.031,137.24,
223.464,130.6,
223.896,124,
224.328,126.05,
224.761,134.66,
225.193,128.15,
225.625,120.76,
226.058,118.16,
226.490,120.21,
226.922,120.29,
227.355,125.32,
227.787,127.76,
228.219,127.06,
228.652,126.46,
229.084,135.33,
229.516,140.4,
229.949,141.65,
230.381,140.26,
230.813,137.37,
231.246,132.05,
231.678,133.89,
232.110,132.04,
232.543,122.69,
232.975,108.21,
233.407,102.72,
233.840,104.91,
234.272,118.55,
234.704,127.92,
235.136,127.13,
235.569,126.41,
236.001,131.05,
236.433,135.49,
236.866,133.88,
237.298,128.88,
237.730,129.1,
238.163,119.96,
238.595,117.81,
239.027,122.31,
239.460,131.92,
239.892,142.9,
240.324,141.93,
240.757,138.16,
241.189,137.57,
241.621,142.24,
242.054,149.95,
242.486,148.42,
242.918,143.05,
243.351,129.59,
243.783,112.62,
244.215,100.58,
244.648,105.85,
245.080,104.54,
245.512,99.535,
245.945,105.57,
246.377,118.01,
246.809,119.65,
247.242,130.69,
247.674,135.08,
248.106,130.6,
248.539,124.8,
248.971,124.7,
249.403,118.61,
249.836,102.65,
250.268,102.65,
250.700,114.81,
251.133,130.29,
251.565,140.37,
251.997,130.75,
252.430,118.96,
252.862,113.8,
253.294,116.07,
253.727,119.73,
254.159,116.8,
254.591,117.99,
255.024,123.69,
255.456,130.13,
255.888,134.29,
256.320,141.86,
256.753,139.44,
257.185,129.22,
257.617,116.31,
258.050,107.08,
258.482,108.33,
258.914,113.87,
259.347,121.44,
259.779,120.51,
260.211,115.22,
260.644,116.28,
261.076,118.07,
261.508,116.31,
261.941,110.01,
262.373,107.23,
262.805,111.54,
263.238,112.77,
263.670,112.8,
264.102,113.96,
264.535,117.09,
264.967,120.67,
265.399,121.96,
265.832,124.17,
266.264,124.64,
266.696,122.35,
267.129,117.37,
267.561,111.11,
267.993,107.27,
268.426,111.01,
268.858,119.54,
269.290,126.47,
269.723,126.27,
270.155,115.93,
270.587,102.91,
271.020,95.917,
271.452,99.884,
271.884,112.96,
272.317,127.07,
272.749,124.69,
273.181,117.75,
273.614,114.02,
274.046,118.69,
274.478,126.08,
274.911,123.66,
275.343,113.25,
275.775,119.36,
276.208,127.13,
276.640,124.96,
277.072,112.06,
277.504,107.47,
277.937,98.344,
278.369,102.37,
278.801,105.55,
279.234,107.96,
279.666,115.92,
280.098,116.08,
280.531,116.98,
280.963,116.02,
281.395,111.93,
281.828,110.89,
282.260,126.95,
282.692,135.5,
283.125,131.82,
283.557,125.67,
283.989,126.39,
284.422,135.39,
284.854,131.69,
285.286,126.26,
285.719,124.32,
286.151,128.2,
286.583,135.21,
287.016,139.75,
287.448,143.54,
287.880,149.35,
288.313,158.02,
288.745,151.15,
289.177,129.54,
289.610,126.41,
290.042,110,
290.474,105.9,
290.907,113.79,
291.339,122.4,
291.771,121.6,
292.204,116.98,
292.636,123.15,
293.068,130.06,
293.501,127.61,
293.933,119.47,
294.365,119.42,
294.798,142.71,
295.230,136.29,
295.662,135.07,
296.095,141.07,
296.527,145.33,
296.959,134.83,
297.392,123.09,
297.824,121.12,
298.256,113.94,
298.688,98.962,
299.121,87.002,
299.553,102.47,
299.985,105.86,
300.418,110,
300.850,113.75,
301.282,121.15,
301.715,129.27,
302.147,114.28,
302.579,107.74,
303.012,106.11,
303.444,111.79,
303.876,123.57,
304.309,135.52,
304.741,133.03,
305.173,123.39,
305.606,109.35,
306.038,103.4,
306.470,107.57,
306.903,114.13,
307.335,110.4,
307.767,110.71,
308.200,116.79,
308.632,122.08,
309.064,122.04,
309.497,116.39,
309.929,111.49,
310.361,106.96,
310.794,100.8,
311.226,109.44,
311.658,128.81,
312.091,133.8,
312.523,122.32,
312.955,121.74,
313.388,117.52,
313.820,113.1,
314.252,108.38,
314.685,97.733,
315.117,98.149,
315.549,98.128,
315.982,103.32,
316.414,112.53,
316.846,120.99,
317.279,122.37,
317.711,113.71,
318.143,111.8,
318.576,113.91,
319.008,116.79,
319.440,117.66,
319.872,115.07,
320.305,109.32,
320.737,110.43,
321.169,111.95,
321.602,111.28,
322.034,110.61,
322.466,114.91,
322.899,114.99,
323.331,111.97,
323.763,113.65,
324.196,109.2,
324.628,98.629,
325.060,95.59,
325.493,101.77,
325.925,103.38,
326.357,110.34,
326.790,113.39,
327.222,113.95,
327.654,123.13,
328.087,134.67,
328.519,125.91,
328.951,121.85,
329.384,123.94,
329.816,126.83,
330.248,124.41,
330.681,119.47,
331.113,126.73,
331.545,132.29,
331.978,136.41,
332.410,136.22,
332.842,131.82,
333.275,138.95,
333.707,126.3,
334.139,116.97,
334.572,115.24,
335.004,118.68,
335.436,121.88,
335.869,120.15,
336.301,105.88,
336.733,95.844,
337.166,94.898,
337.598,103.89,
338.030,115.46,
338.463,115.01,
338.895,110.39,
339.327,110.24,
339.760,126.21,
340.192,135.23,
340.624,129.19,
341.056,122.45,
341.489,117.57,
341.921,115.96,
342.353,110.47,
342.786,112.4,
343.218,121.83,
343.650,130.24,
344.083,132.85,
344.515,134.55,
344.947,127.62,
345.380,118.59,
345.812,115.27,
346.244,122.53,
346.677,137.27,
347.109,114.52,
347.541,114.7,
347.974,112.2,
348.406,112.17,
348.838,119.47,
349.271,128.7,
349.703,127.86,
350.135,111.8,
350.568,113.62,
351.000,123.54,
351.432,126.45,
351.865,118.49,
352.297,122.55,
352.729,114.18,
353.162,117.36,
353.594,116.81,
354.026,113.1,
354.459,110.12,
354.891,108.2,
355.323,108.2,
355.756,118.32,
356.188,118.09,
356.620,116.6,
357.053,118.31,
357.485,120,
357.917,116.61,
358.350,112.8,
358.782,110.1,
359.214,117.05,
359.647,124.57,
360.079,126.56,
360.511,127.82,
360.944,114,
361.376,116.05,
361.808,125.45,
362.240,131.12,
362.673,124.72,
363.105,108.48,
363.537,102.38,
363.970,107.3,
364.402,111.44,
364.834,121.08,
365.267,130.3,
365.699,132.48,
366.131,126.66,
366.564,119.95,
366.996,112.67,
367.428,106.28,
367.861,105.92,
368.293,105.16,
368.725,99.837,
369.158,100.73,
369.590,124.37,
370.022,122.69,
370.455,117.84,
370.887,107.6,
371.319,99.302,
371.752,102.99,
372.184,108.26,
372.616,113.11,
373.049,111.62,
373.481,112.9,
373.913,116.52,
374.346,120.62,
374.778,124.25,
375.210,122.46,
375.643,113.16,
376.075,107.13,
376.507,103.61,
376.940,106.69,
377.372,116.46,
377.804,125.05,
378.237,128.38,
378.669,125.81,
379.101,127.18,
379.534,130.62,
379.966,124.82,
380.398,111.32,
380.831,115.2,
381.263,116.48,
381.695,126.75,
382.128,121.27,
382.560,118.24,
382.992,115.49,
383.424,108.72,
383.857,119.18,
384.289,111.91,
384.721,105.17,
385.154,107.8,
385.586,114.05,
386.018,120.59,
386.451,125.46,
386.883,122.66,
387.315,123.86,
387.748,112.47,
388.180,110.77,
388.612,113.83,
389.045,121.7,
389.477,130.76,
389.909,116.61,
390.342,127.93,
390.774,127.64,
391.206,123.07,
391.639,121.63,
392.071,124.6,
392.503,130.91,
392.936,143.3,
393.368,145.28,
393.800,140.93,
394.233,134.97,
394.665,129.23,
395.097,126.85,
395.530,129.25,
395.962,131.17,
396.394,114.24,
396.827,121.84,
397.259,125.9,
397.691,118.91,
398.124,108.29,
398.556,109.57,
398.988,132.11,
399.421,135.55,
399.853,137.72,
400.285,132.99,
400.718,128.95,
401.150,130.72,
401.582,136.89,
402.015,139,
402.447,123.49,
402.879,127.88,
403.312,130.49,
403.744,118.86,
404.176,112.64,
404.608,116.31,
405.041,112.27,
405.473,112.76,
405.905,126.05,
406.338,130.22,
406.770,123.88,
407.202,119.5,
407.635,118.37,
408.067,117.53,
408.499,129.89,
408.932,126,
409.364,117.76,
409.796,117.68,
410.229,124.96,
410.661,131.68,
411.093,133.96,
411.526,137.17,
411.958,137.78,
412.390,134.48,
412.823,135.4,
413.255,137.67,
413.687,141.16,
414.120,139.34,
414.552,125.63,
414.984,115.21,
415.417,115.47,
415.849,115.65,
416.281,122.38,
416.714,130.33,
417.146,133.5,
417.578,131.45,
418.011,127.8,
418.443,108.2,
418.875,108.38,
419.308,113.05,
419.740,123.74,
420.172,131.88,
420.605,129.29,
421.037,116.74,
421.469,105.59,
421.902,105.24,
422.334,120.54,
422.766,122.1,
423.199,113.99,
423.631,112.54,
424.063,120.83,
424.496,121.84,
424.928,115.66,
425.360,117.93,
425.792,122.47,
426.225,124.6,
426.657,127.41,
427.089,125.51,
427.522,113.82,
427.954,102.06,
428.386,90.302,
428.819,95.322,
429.251,93.289,
