,Live Spectrum 8/25/2018 8:49:52 PM,
Wavelength [nm],Intensity,
222.167,54.243,
222.599,66.47,
223.031,73.096,
223.464,73.872,
223.896,68.11,
224.328,55.547,
224.761,59.169,
225.193,60.45,
225.625,62.365,
226.058,67.488,
226.490,76.297,
226.922,65.663,
227.355,64.074,
227.787,66.667,
228.219,70.858,
228.652,73.252,
229.084,58.901,
229.516,59.606,
229.949,58.805,
230.381,58.809,
230.813,62.88,
231.246,58.039,
231.678,58.92,
232.110,56.68,
232.543,54.65,
232.975,54.816,
233.407,51.344,
233.840,67.049,
234.272,72.953,
234.704,68.635,
235.136,62.909,
235.569,74.141,
236.001,66.154,
236.433,65.484,
236.866,59.952,
237.298,52.492,
237.730,57.489,
238.163,58.541,
238.595,55.805,
239.027,58.263,
239.460,65.602,
239.892,72.26,
240.324,67.403,
240.757,76.61,
241.189,79.366,
241.621,77.88,
242.054,76.23,
242.486,66.752,
242.918,51.273,
243.351,44.663,
243.783,51.275,
244.215,65.958,
244.648,71.39,
245.080,59.56,
245.512,64.256,
245.945,73.635,
246.377,80.127,
246.809,80.403,
247.242,69.529,
247.674,74.018,
248.106,75.84,
248.539,74.443,
248.971,74.55,
249.403,75.362,
249.836,68.863,
250.268,69.977,
250.700,71.198,
251.133,70.373,
251.565,81.59,
251.997,83.671,
252.430,84.204,
252.862,82.181,
253.294,78.758,
253.727,76.629,
254.159,72.968,
254.591,64.851,
255.024,60.021,
255.456,58.138,
255.888,55.925,
256.320,50.226,
256.753,56.378,
257.185,53.38,
257.617,50.554,
258.050,55.829,
258.482,69.082,
258.914,76.662,
259.347,76.948,
259.779,71.333,
260.211,64.834,
260.644,62.185,
261.076,52.479,
261.508,60.855,
261.941,69.547,
262.373,74.187,
262.805,76.46,
263.238,84.705,
263.670,85.419,
264.102,88.042,
264.535,80.994,
264.967,68.736,
265.399,66.688,
265.832,64.563,
266.264,64.313,
266.696,65.213,
267.129,64.958,
267.561,64.18,
267.993,72.194,
268.426,66.286,
268.858,57.881,
269.290,53.569,
269.723,58.286,
270.155,72.487,
270.587,65.693,
271.020,59.106,
271.452,54.088,
271.884,47.553,
272.317,40.986,
272.749,50.571,
273.181,50.156,
273.614,50.368,
274.046,55.847,
274.478,64.911,
274.911,71.97,
275.343,80.989,
275.775,72.923,
276.208,59.358,
276.640,53.001,
277.072,58.664,
277.504,64.655,
277.937,65.471,
278.369,64.51,
278.801,59.743,
279.234,52.244,
279.666,45.971,
280.098,49.75,
280.531,55.516,
280.963,55.101,
281.395,59.24,
281.828,68.157,
282.260,64.542,
282.692,61.006,
283.125,64.352,
283.557,65.166,
283.989,57.552,
284.422,45.897,
284.854,60.133,
285.286,68.976,
285.719,75.298,
286.151,79.057,
286.583,79.058,
287.016,73.897,
287.448,65.743,
287.880,63.225,
288.313,66.089,
288.745,67.237,
289.177,63.114,
289.610,58.184,
290.042,64.121,
290.474,66.915,
290.907,62.217,
291.339,56.543,
291.771,57.475,
292.204,62.839,
292.636,64.155,
293.068,57.569,
293.501,52.854,
293.933,55.138,
294.365,61.334,
294.798,47.54,
295.230,40.48,
295.662,51.015,
296.095,63.894,
296.527,67.135,
296.959,60.539,
297.392,74.181,
297.824,61.701,
298.256,54.727,
298.688,57.176,
299.121,64.124,
299.553,68.686,
299.985,65.872,
300.418,60.301,
300.850,61.845,
301.282,61.215,
301.715,51.196,
302.147,48.297,
302.579,57.512,
303.012,53.933,
303.444,57.422,
303.876,62.281,
304.309,54.366,
304.741,43.505,
305.173,42.55,
305.606,45.892,
306.038,41.186,
306.470,30.911,
306.903,29.484,
307.335,54.381,
307.767,65.443,
308.200,71.456,
308.632,72.325,
309.064,71.515,
309.497,74.473,
309.929,75.719,
310.361,75.32,
310.794,74.391,
311.226,67.734,
311.658,56.289,
312.091,48.852,
312.523,59.247,
312.955,58.162,
313.388,61.432,
313.820,59.626,
314.252,48.719,
314.685,37.749,
315.117,46.905,
315.549,53.292,
315.982,59.456,
316.414,64.282,
316.846,64.096,
317.279,55.062,
317.711,49.813,
318.143,53.797,
318.576,61.878,
319.008,63.769,
319.440,55.897,
319.872,46.19,
320.305,58.951,
320.737,48.204,
321.169,43.135,
321.602,47.65,
322.034,52.428,
322.466,44.778,
322.899,56.216,
323.331,66.328,
323.763,74.833,
324.196,76.106,
324.628,70.069,
325.060,62.767,
325.493,53.575,
325.925,40.699,
326.357,33.514,
326.790,33.784,
327.222,43.994,
327.654,62.917,
328.087,60.073,
328.519,62.228,
328.951,66.702,
329.384,69.897,
329.816,71.292,
330.248,72.314,
330.681,71.393,
331.113,75.543,
331.545,83.323,
331.978,76.012,
332.410,68.077,
332.842,77.43,
333.275,68.042,
333.707,64.561,
334.139,66.414,
334.572,63.81,
335.004,60.315,
335.436,65.194,
335.869,83.859,
336.301,90.489,
336.733,87.206,
337.166,78.104,
337.598,68.64,
338.030,63.668,
338.463,65.108,
338.895,62.923,
339.327,59.86,
339.760,58.614,
340.192,61.999,
340.624,68.263,
341.056,71.957,
341.489,72.966,
341.921,74.83,
342.353,74.602,
342.786,74.419,
343.218,71.794,
343.650,64.644,
344.083,62.876,
344.515,59.125,
344.947,66.431,
345.380,71.26,
345.812,64.525,
346.244,49.414,
346.677,43.985,
347.109,44.912,
347.541,52.354,
347.974,52.139,
348.406,58.087,
348.838,67.028,
349.271,58.395,
349.703,57.973,
350.135,67.671,
350.568,74.051,
351.000,74.353,
351.432,74.397,
351.865,76.885,
352.297,65.674,
352.729,70.235,
353.162,65.622,
353.594,60.921,
354.026,57.442,
354.459,57.37,
354.891,65.643,
355.323,71.224,
355.756,72.357,
356.188,76.342,
356.620,75.487,
357.053,70.333,
357.485,68.114,
357.917,72.43,
358.350,72.612,
358.782,67.049,
359.214,62.501,
359.647,61.858,
360.079,61.953,
360.511,56.209,
360.944,54.769,
361.376,56.81,
361.808,63.286,
362.240,67.36,
362.673,68.927,
363.105,71.209,
363.537,71.911,
363.970,63.766,
364.402,54.269,
364.834,52.23,
365.267,58.022,
365.699,69.577,
366.131,82.325,
366.564,77.399,
366.996,74.164,
367.428,77.897,
367.861,81.152,
368.293,81.653,
368.725,77.484,
369.158,63.094,
369.590,48.383,
370.022,68.659,
370.455,71.378,
370.887,68.818,
371.319,73.24,
371.752,83.685,
372.184,90.257,
372.616,91.364,
373.049,82.343,
373.481,84.97,
373.913,90.635,
374.346,91.475,
374.778,89.318,
375.210,79.262,
375.643,79.026,
376.075,72.06,
376.507,56.484,
376.940,47.638,
377.372,55.433,
377.804,69.831,
378.237,65.906,
378.669,60.387,
379.101,59.108,
379.534,61.914,
379.966,70.152,
380.398,79.916,
380.831,78.303,
381.263,63.523,
381.695,64.623,
382.128,70.693,
382.560,73.65,
382.992,74.8,
383.424,80.997,
383.857,95.709,
384.289,95.11,
384.721,89.265,
385.154,80.174,
385.586,76.587,
386.018,77.545,
386.451,74.252,
386.883,60.878,
387.315,67.986,
387.748,69.597,
388.180,66.183,
388.612,68.933,
389.045,74.095,
389.477,72.707,
389.909,72.959,
390.342,82.22,
390.774,79.5,
391.206,81.606,
391.639,82.711,
392.071,79.48,
392.503,74.723,
392.936,72.311,
393.368,69.735,
393.800,84.062,
394.233,74.254,
394.665,62.951,
395.097,67.485,
395.530,82.375,
395.962,84.852,
396.394,77.459,
396.827,79.617,
397.259,84.262,
397.691,84.507,
398.124,83.007,
398.556,85.971,
398.988,94.327,
399.421,101.9,
399.853,91.255,
400.285,83.426,
400.718,85.639,
401.150,91.038,
401.582,95.279,
402.015,103.73,
402.447,106.06,
402.879,119.41,
403.312,121.45,
403.744,113.45,
404.176,103.79,
404.608,103.12,
405.041,113.83,
405.473,113.18,
405.905,120.68,
406.338,108.12,
406.770,99.662,
407.202,101.5,
407.635,104.33,
408.067,99.015,
408.499,95.755,
408.932,103.19,
409.364,122.73,
409.796,128.66,
410.229,133.74,
410.661,138,
411.093,138.37,
411.526,142.77,
411.958,149.09,
412.390,132.58,
412.823,140.41,
413.255,154.38,
413.687,162.38,
414.120,164.64,
414.552,169.42,
414.984,181.9,
415.417,176.96,
415.849,192.03,
416.281,206.47,
416.714,218.09,
417.146,239.41,
417.578,268.24,
418.011,274.42,
418.443,277.98,
418.875,289.65,
419.308,301.23,
419.740,320.18,
420.172,341.24,
420.605,361.85,
421.037,382.55,
421.469,393.32,
421.902,437.36,
