,far red absorbing state
Wavelength [nm],?fr
965.708,92.2
966.075,92.2
966.443,92.2
966.81,92.2
967.177,92.2
967.545,92.2
967.912,92.2
968.278,92.2
968.645,92.2
969.012,92.2
969.378,92.2
969.745,92.2
970.111,92.2
970.478,92.2
970.844,92.2
971.21,92.2
971.576,92.2
971.942,92.2
972.307,92.2
972.673,92.2
973.039,92.2
973.404,92.2
973.769,92.2
974.135,92.2
974.5,92.2
974.865,92.2
975.23,92.2
975.595,92.2
975.959,92.2
976.324,92.2
976.688,92.2
977.053,92.2
977.417,92.2
977.781,92.2
978.145,92.2
978.509,92.2
978.873,92.2
979.237,92.2
979.601,92.2
979.964,92.2
980.328,92.2
980.691,92.2
981.055,92.2
981.418,92.2
981.781,92.2
982.144,92.2
982.507,92.2
982.869,92.2
983.232,92.2
983.595,92.2
983.957,92.2
984.319,92.2
984.682,92.2
985.044,92.2
985.406,92.2
985.768,92.2
986.13,92.2
986.491,92.2
986.853,92.2
987.214,92.2
987.576,92.2
987.937,92.2
988.298,92.2
988.659,92.2
989.02,92.2
989.381,92.2
989.742,92.2
990.103,92.2
990.463,92.2
990.824,92.2
991.184,92.2
991.544,92.2
991.905,92.2
992.265,92.2
992.625,92.2
992.985,92.2
993.344,92.2
993.704,92.2
994.063,92.2
994.423,92.2
994.782,92.2
995.142,92.2
995.501,92.2
995.86,92.2
996.219,92.2
996.577,92.2
996.936,92.2
997.295,92.2
997.653,92.2
998.012,92.2
998.37,92.2
998.728,92.2
999.086,92.2
999.444,92.2
999.802,92.2
1000.16,92.2
1000.518,92.2
1000.875,92.2
1001.233,92.2
1001.59,92.2
1001.947,92.2
1002.305,92.2
1002.662,92.2
1003.019,92.2
1003.375,92.2
1003.732,92.2
1004.089,92.2
1004.445,92.2
1004.802,92.2
1005.158,92.2
1005.514,92.2
1005.871,92.2
1006.227,92.2
1006.583,92.2
1006.938,92.2
1007.294,92.2
1007.65,92.2
1008.005,92.2
1008.361,92.2
1008.716,92.2
1009.071,92.2
1009.426,92.2
1009.781,92.2
1010.136,92.2
1010.491,92.2
1010.846,92.2
1011.2,92.2
1011.555,92.2
1011.909,92.2
1012.263,92.2
1012.617,92.2
1012.971,92.2
1013.326,92.2
1013.679,92.2
1014.033,92.2
1014.387,92.2
1014.74,92.2
1015.094,92.2
1015.447,92.2
1015.8,92.2
1016.153,92.2
1016.507,92.2
1016.859,92.2
1017.212,92.2
1017.565,92.2
1017.918,92.2
1018.27,92.2
1018.622,92.2
1018.975,92.2
1019.327,92.2
1019.679,92.2
1020.031,92.2
1020.383,92.2
1020.735,92.2
1021.086,92.2
1021.438,92.2
1021.79,92.2
1022.141,92.2
1022.492,92.2
1022.843,92.2
1023.194,92.2
1023.545,92.2
1023.896,92.2
1024.247,92.2
1024.598,92.2
1024.948,92.2
1025.299,92.2
1025.649,92.2
1025.999,92.2
1026.349,92.2
1026.699,92.2
1027.049,92.2
1027.399,92.2
1027.749,92.2
1028.099,92.2
1028.448,92.2
1028.797,92.2
1029.147,92.2
1029.496,92.2
1029.845,92.2
1030.194,92.2
1030.543,92.2
1030.892,92.2
1031.24,92.2
1031.589,92.2
1031.938,92.2
1032.286,92.2
1032.634,92.2
1032.982,92.2
1033.33,92.2
1033.678,92.2
1034.026,92.2
1034.374,92.2
1034.722,92.2
1035.069,92.2
1035.417,92.2
1035.764,92.2
1036.111,92.2
1036.458,92.2
1036.805,92.2
1037.152,92.2
1037.499,92.2
1037.846,92.2
1038.193,92.2
1038.539,92.2
1038.885,92.2
1039.232,92.2
1039.578,92.2
1039.924,92.2
1040.27,92.2
1040.616,92.2
1040.962,92.2
1041.307,92.2
1041.653,92.2
1041.998,92.2
1042.344,92.2
1042.689,92.2
1043.034,92.2
1043.379,92.2
1043.724,92.2
1044.069,92.2
1044.414,92.2
1044.759,92.2
1045.103,92.2
1045.448,92.2
1045.792,92.2
1046.136,92.2
1046.48,92.2
1046.824,92.2
1047.168,92.2
1047.512,92.2
1047.856,92.2
1048.199,92.2
1048.543,92.2
1048.886,92.2
1049.23,92.2
1049.573,92.2
1049.916,92.2
1050.259,92.2
1050.602,92.2
1050.945,92.2
1051.287,92.2
1051.63,92.2
1051.972,92.2
1052.315,92.2
1052.657,92.2
1052.999,92.2
1053.341,92.2
1053.683,92.2
1054.025,92.2
1054.367,92.2
1054.708,92.2
1055.05,92.2
1055.391,92.2
1055.733,92.2
1056.074,92.2
1056.415,92.2
1056.756,92.2
1057.097,92.2
1057.438,92.2
1057.779,92.2
1058.119,92.2
1058.46,92.2
1058.8,92.2
1059.141,92.2
1059.481,92.2
1059.821,92.2
1060.161,92.2
1060.501,92.2
1060.841,92.2
1061.18,92.2
1061.52,92.2
1061.859,92.2
1062.199,92.2
1062.538,92.2
1062.877,92.2
1063.216,92.2
1063.555,92.2
1063.894,92.2
1064.233,92.2
1064.571,92.2
1064.91,92.2
1065.248,92.2
1065.587,92.2
1065.925,92.2
1066.263,92.2
1066.601,92.2
1066.939,92.2
1067.277,92.2
1067.615,92.2
1067.952,92.2
1068.29,92.2
1068.627,92.2
1068.964,92.2
1069.302,92.2
1069.639,92.2
1069.976,92.2
1070.313,92.2
1070.649,92.2
1070.986,92.2
1071.323,92.2
1071.659,92.2
1071.996,92.2
1072.332,92.2
1072.668,92.2
1073.004,92.2
1073.34,92.2
1073.676,92.2
1074.012,92.2
1074.347,92.2
1074.683,92.2
1075.018,92.2
1075.354,92.2
1075.689,92.2
1076.024,92.2
1076.359,92.2
1076.694,92.2
1077.029,92.2
1077.364,92.2
1077.698,92.2
1078.033,92.2
1078.367,92.2
1078.701,92.2
1079.036,92.2
1079.37,92.2
1079.704,92.2
1080.038,92.2
1080.371,92.2
1080.705,92.2
1081.039,92.2
1081.372,92.2
1081.705,92.2
1082.039,92.2
1082.372,92.2
1082.705,92.2
1083.038,92.2
1083.371,92.2
1083.704,92.2
1084.036,92.2
1084.369,92.2
1084.701,92.2
1085.034,92.2
1085.366,92.2
1085.698,92.2
1086.03,92.2
1086.362,92.2
1086.694,92.2
1087.025,92.2
1087.357,92.2
1087.689,92.2
1088.02,92.2
1088.351,92.2
1088.682,92.2
1089.014,92.2
1089.345,92.2
1089.676,92.2
1090.006,92.2
1090.337,92.2
1090.668,92.2
1090.998,92.2
1091.328,92.2
1091.659,92.2
1091.989,92.2
1092.319,92.2
1092.649,92.2
1092.979,92.2
1093.308,92.2
1093.638,92.2
1093.968,92.2
1094.297,92.2
1094.626,92.2
1094.956,92.2
1095.285,92.2
1095.614,92.2
1095.943,92.2
1096.272,92.2
1096.6,92.2
1096.929,92.2
1097.257,92.2
1097.586,92.2
1097.914,92.2
1098.242,92.2
1098.571,92.2
1098.899,92.2
1099.226,92.2
1099.554,92.2
1099.882,92.2
1100.209,92.2
1100.537,92.2
1100.864,92.2
1101.192,92.2
1101.519,92.2
1101.846,92.2
1102.173,92.2
1102.5,92.2
