,far red absorbing state
Wavelength [nm],?fr
408.475,572.2875
408.976,571.536
409.476,570.786
409.976,570.036
410.476,568.572
410.976,567.072
411.476,565.572
411.976,564.072
412.475,562.3375
412.975,560.5875
413.474,558.841
413.974,557.091
414.473,553.689
414.972,550.196
415.471,546.703
415.97,543.21
416.469,539.4825
416.967,535.7475
417.466,532.005
417.964,528.27
418.463,523.1385
418.961,517.9095
419.459,512.6805
419.957,507.4515
420.455,502.905
420.953,498.423
421.451,493.941
421.949,489.459
422.446,481.195
422.944,472.48
423.441,463.7825
423.938,455.085
424.435,448.9975
424.932,443.282
425.429,437.5665
425.926,431.851
426.423,424.655
426.919,417.215
427.416,409.76
427.912,402.32
428.409,396.092
428.905,390.14
429.401,384.188
429.897,378.236
430.393,372.284
430.889,366.332
431.384,360.392
431.88,354.44
432.375,347.75
432.871,340.806
433.366,333.876
433.861,326.946
434.356,320.55
434.851,314.3625
435.346,308.175
435.841,301.9875
436.335,295.4775
436.83,288.795
437.324,282.126
437.819,275.4435
438.313,271.122
438.807,268.158
439.301,265.194
439.795,262.23
440.289,256.954
440.783,250.038
441.276,243.136
441.77,236.22
442.263,230.896
442.757,226.944
443.25,223
443.743,219.056
444.236,215.23
444.729,211.5325
445.222,207.835
445.714,204.145
446.207,200.344
446.699,196.408
447.192,192.464
447.684,188.528
448.176,184.504
448.668,180.322
449.16,176.14
449.652,171.958
450.144,167.992
450.635,164.555
451.127,161.111
451.618,157.674
452.11,154.395
452.601,151.6945
453.092,148.994
453.583,146.2935
454.074,143.556
454.565,140.61
455.056,137.664
455.546,134.724
456.037,131.889
456.527,130.419
457.018,128.946
457.508,127.476
457.998,126.006
458.488,122.584
458.978,119.154
459.468,115.724
459.957,112.301
460.447,110.659
460.936,109.192
461.426,107.722
461.915,106.255
462.404,104.6062
462.893,102.91915
463.382,101.2321
463.871,99.54505
464.36,98.02
464.848,96.556
465.337,95.089
465.825,93.625
466.314,92.2522
466.802,90.9346
467.29,89.617
467.778,88.2994
468.266,86.9286
468.754,85.5134
469.242,84.0982
469.729,82.6859
470.217,81.2273
470.704,79.7176
471.192,78.2048
471.679,76.6951
472.166,75.4095
472.653,74.55725
473.14,73.705
473.627,72.85275
474.113,72.1774
474.6,72.08
475.086,71.9828
475.573,71.8854
476.059,71.52565
476.545,69.26575
477.031,67.00585
477.517,64.74595
478.003,62.49295
478.489,61.35085
478.974,60.2111
479.46,59.069
479.945,57.92925
480.431,56.78715
480.916,55.6474
481.401,54.50765
481.886,53.3679
482.371,52.45075
482.856,51.602
483.341,50.75325
483.825,49.90625
484.31,49.6
484.794,49.6
485.279,49.6
485.763,49.6
486.247,49.6
486.731,49.6
487.215,49.6
487.699,49.6
488.182,49.1723
488.666,48.0349
489.149,46.89985
489.633,45.76245
490.116,44.9174
490.599,44.98985
491.082,45.0623
491.565,45.13475
492.048,45.1136
492.531,44.2442
493.013,43.3766
493.496,42.5072
493.978,41.6396
494.461,41.6
494.943,41.6
495.425,41.6
495.907,41.6
496.389,40.68585
496.871,39.55315
497.353,38.42045
497.834,37.2901
498.316,36.9
498.797,36.9
499.279,36.9
499.76,36.9
500.241,36.8518
500.722,36.7556
501.203,36.6594
501.684,36.5632
502.164,36.5902
502.645,36.85475
503.125,37.11875
503.606,37.3833
504.086,37.3979
504.566,36.2699
505.046,35.1419
505.526,34.0139
506.006,32.9
506.486,32.9
506.965,32.9
507.445,32.9
507.924,32.9
508.404,32.9
508.883,32.9
509.362,32.9
509.841,32.9
510.32,32.9
510.799,32.9
511.278,32.9
511.756,32.9
512.235,32.947
512.713,33.0426
513.192,33.1384
513.67,33.234
514.148,32.856
514.626,31.422
515.104,29.988
515.582,28.554
516.059,27.27345
516.537,27.05835
517.014,26.8437
517.492,26.6286
517.969,26.41395
518.446,26.4
518.923,26.4
519.4,26.4
519.877,26.4
520.354,26.3823
520.83,26.3585
521.307,26.33465
521.783,26.31085
522.26,26.898
522.736,27.9928
523.212,29.0876
523.688,30.1824
524.164,30.859
524.64,30.74
525.116,30.621
525.591,30.50225
526.067,30.4
526.542,30.4
527.018,30.4
527.493,30.4
527.968,30.4
528.443,30.3114
528.918,30.2164
529.393,30.1214
529.867,30.0266
530.342,29.8632
530.816,29.6736
531.291,29.4836
531.765,29.294
532.239,29.1044
532.713,28.9148
533.187,28.7252
533.661,28.5356
534.135,28.4
534.608,28.4
535.082,28.4
535.555,28.4
536.029,28.46525
536.502,29.5295
536.975,30.59375
537.448,31.658
537.921,32.72225
538.394,32.7424
538.867,32.5532
539.339,32.3644
539.812,32.1752
540.284,32.2704
540.757,32.5542
541.229,32.8374
541.701,33.1206
542.173,33.2135
542.645,32.9775
543.117,32.7415
543.588,32.506
544.06,32.387
544.531,33.06995
545.003,33.75435
545.474,34.4373
545.945,35.12025
546.416,35.0128
546.887,34.80085
547.358,34.5889
547.829,34.37695
548.299,35.0475
548.77,36.225
549.24,37.4
549.711,38.5775
550.181,39.27285
550.651,39.20235
551.121,39.13185
551.591,39.06135
552.061,38.94815
552.531,38.54865
553,38.15
553.47,37.7505
553.939,37.35185
554.409,38.6497
554.878,40.1974
555.347,41.7451
555.816,43.2928
556.285,43.6435
556.754,43.2214
557.222,42.8002
557.691,42.3781
558.159,42.39415
558.628,43.2618
559.096,44.1276
559.564,44.9934
560.032,45.7888
560.5,45.625
560.968,45.4612
561.436,45.2974
561.903,45.13395
562.371,45.9904
562.838,47.1112
563.306,48.2344
563.773,49.3552
564.24,50.584
564.707,51.91495
565.174,53.2459
565.641,54.57685
566.108,55.546
566.574,55.313
567.041,55.0795
567.507,54.8465
567.973,54.6135
568.44,56.074
568.906,57.6351
569.372,59.1962
569.838,60.7573
570.304,61.0264
570.769,60.6079
571.235,60.1885
571.7,59.77
572.166,60.0229
572.631,61.48765
573.096,62.9524
573.561,64.41715
574.026,65.8481
574.491,66.70835
574.956,67.5686
575.42,68.427
575.885,69.28725
576.349,70.1282
576.814,70.9652
577.278,71.8004
577.742,72.6356
578.206,73.4708
