,Relative Quantum Efficiency
Wavelength [nm],RQE
432.375,0.76
432.871,0.76
433.366,0.76
433.861,0.76
434.356,0.75822
434.851,0.755745
435.346,0.75327
435.841,0.750795
436.335,0.75
436.83,0.75
437.324,0.75
437.819,0.75
438.313,0.75
438.807,0.75
439.301,0.75
439.795,0.75
440.289,0.75
440.783,0.75
441.276,0.75
441.77,0.75
442.263,0.75
442.757,0.75
443.25,0.75
443.743,0.75
444.236,0.75
444.729,0.75
445.222,0.75
445.714,0.75
446.207,0.75
446.699,0.75
447.192,0.75
447.684,0.75
448.176,0.75
448.668,0.75
449.16,0.75
449.652,0.75
450.144,0.75
450.635,0.75
451.127,0.75
451.618,0.75
452.11,0.74945
452.601,0.746995
453.092,0.74454
453.583,0.742085
454.074,0.74
454.565,0.74
455.056,0.74
455.546,0.74
456.037,0.739815
456.527,0.737365
457.018,0.73491
457.508,0.73246
457.998,0.73001
458.488,0.73
458.978,0.73
459.468,0.73
459.957,0.73
460.447,0.727765
460.936,0.72532
461.426,0.72287
461.915,0.720425
462.404,0.71798
462.893,0.715535
463.382,0.71309
463.871,0.710645
464.36,0.7082
464.848,0.70576
465.337,0.703315
465.825,0.700875
466.314,0.7
466.802,0.7
467.29,0.7
467.778,0.7
468.266,0.69867
468.754,0.69623
469.242,0.69379
469.729,0.691355
470.217,0.69
470.704,0.69
471.192,0.69
471.679,0.69
472.166,0.68917
472.653,0.686735
473.14,0.6843
473.627,0.681865
474.113,0.68
474.6,0.68
475.086,0.68
475.573,0.68
476.059,0.68
476.545,0.68
477.031,0.68
477.517,0.68
478.003,0.680015
478.489,0.682445
478.974,0.68487
479.46,0.6873
479.945,0.689725
480.431,0.69
480.916,0.69
481.401,0.69
481.886,0.69
482.371,0.69
482.856,0.69
483.341,0.69
483.825,0.69
484.31,0.69
484.794,0.69
485.279,0.69
485.763,0.69
486.247,0.69
486.731,0.69
487.215,0.69
487.699,0.69
488.182,0.69091
488.666,0.69333
489.149,0.695745
489.633,0.698165
490.116,0.7
490.599,0.7
491.082,0.7
491.565,0.7
492.048,0.7
492.531,0.7
493.013,0.7
493.496,0.7
493.978,0.7
494.461,0.7
494.943,0.7
495.425,0.7
495.907,0.7
496.389,0.701945
496.871,0.704355
497.353,0.706765
497.834,0.70917
498.316,0.71
498.797,0.71
499.279,0.71
499.76,0.71
500.241,0.71
500.722,0.71
501.203,0.71
501.684,0.71
502.164,0.71
502.645,0.71
503.125,0.71
503.606,0.71
504.086,0.71043
504.566,0.71283
505.046,0.71523
505.526,0.71763
506.006,0.72
506.486,0.72
506.965,0.72
507.445,0.72
507.924,0.72
508.404,0.72
508.883,0.72
509.362,0.72
509.841,0.72
510.32,0.72
510.799,0.72
511.278,0.72
511.756,0.72
512.235,0.721175
512.713,0.723565
513.192,0.72596
513.67,0.72835
514.148,0.73
514.626,0.73
515.104,0.73
515.582,0.73
516.059,0.73
516.537,0.73
517.014,0.73
517.492,0.73
517.969,0.73
518.446,0.73
518.923,0.73
519.4,0.73
519.877,0.73
520.354,0.73177
520.83,0.73415
521.307,0.736535
521.783,0.738915
522.26,0.74
522.736,0.74
523.212,0.74
523.688,0.74
524.164,0.74082
524.64,0.7432
525.116,0.74558
525.591,0.747955
526.067,0.75
526.542,0.75
527.018,0.75
527.493,0.75
527.968,0.75
528.443,0.752215
528.918,0.75459
529.393,0.756965
