,red absorbing state
Wavelength [nm],?r
396.436,1076.726
396.939,1053.3365
397.442,1029.947
397.944,1006.604
398.447,981.65
398.949,956.55
399.452,931.4
399.954,906.3
400.456,882.568
400.958,858.974
401.46,835.38
401.962,811.786
402.463,792.1745
402.965,772.8475
403.466,753.559
403.968,734.232
404.469,717.7575
404.97,701.475
405.471,685.1925
405.972,668.91
406.473,652.864
406.974,636.832
407.475,620.8
407.975,604.8
408.475,593.7875
408.976,583.016
409.476,572.266
409.976,561.516
410.476,551.004
410.976,540.504
411.476,530.004
411.976,519.504
412.475,507.6
412.975,495.6
413.474,483.624
413.974,471.624
414.473,460.594
414.972,449.616
415.471,438.638
415.97,427.66
416.469,422.5445
416.967,417.8135
417.466,413.073
417.964,408.342
418.463,398.277
418.961,387.819
419.459,377.361
419.957,366.903
420.455,361.905
420.953,357.423
421.451,352.941
421.949,348.459
422.446,341.756
422.944,334.784
423.441,327.826
423.938,320.868
424.435,317.39
424.932,314.408
425.429,311.426
425.926,308.444
426.423,304.616
426.919,300.648
427.416,296.672
427.912,292.704
428.409,288.319
428.905,283.855
429.401,279.391
429.897,274.927
430.393,271.8385
430.889,269.1105
431.384,266.388
431.88,263.66
432.375,259.4375
432.871,254.7255
433.366,250.023
433.861,245.3205
434.356,244
434.851,244
435.346,244
435.841,244
436.335,241.655
436.83,238.19
437.324,234.732
437.819,231.267
438.313,230
438.807,230
439.301,230
439.795,230
440.289,226.9655
440.783,221.7785
441.276,216.602
441.77,211.415
442.263,207.2905
442.757,204.0795
443.25,200.875
443.743,197.6705
444.236,194.584
444.729,191.626
445.222,188.668
445.714,185.716
446.207,182.758
446.699,179.806
447.192,176.848
447.684,173.896
448.176,171.12
448.668,168.66
449.16,166.2
449.652,163.74
450.144,162
450.635,162
451.127,162
451.618,162
452.11,161.34
452.601,158.394
453.092,155.448
453.583,152.502
454.074,149.741
454.565,148.0225
455.056,146.304
455.546,144.589
456.037,142.7225
456.527,139.0475
457.018,135.365
457.508,131.69
457.998,128.015
458.488,128
458.978,128
459.468,128
459.957,128
460.447,125.9885
460.936,123.788
461.426,121.583
461.915,119.3825
462.404,119
462.893,119
463.382,119
463.871,119
464.36,116.84
464.848,113.912
465.337,110.978
465.825,108.05
466.314,107
466.802,107
467.29,107
467.778,107
468.266,106.202
468.754,104.738
469.242,103.274
469.729,101.813
470.217,101
470.704,101
471.192,101
471.679,101
472.166,100.3277
472.653,98.35535
473.14,96.383
473.627,94.41065
474.113,92.9
474.6,92.9
475.086,92.9
475.573,92.9
476.059,92.65515
476.545,90.63825
477.031,88.62135
477.517,86.60445
478.003,84.6
478.489,84.6
478.974,84.6
479.46,84.6
479.945,84.6
480.431,84.6
480.916,84.6
481.401,84.6
481.886,84.6
482.371,82.7821
